,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,1.0,0.0,0.0,144.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0
freedom-erp.csv,1.0,77.0,0.0,144.0,104.0,0.0,0.0,107.0,62.0,64.0,71.0,110.0
javaprofiler.csv,12.0,3.0,2.0,31.0,0.0,1.0,1.0,6.0,1.0,1.0,2.0,0.0
jmoney.csv,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,71.0,0.0
jsidplay2.csv,5.0,5.0,0.0,11.0,2.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0
reaper3d.csv,60.0,77.0,3.0,0.0,0.0,225.0,166.0,0.0,0.0,1.0,71.0,0.0
servicestack.csv,15.0,0.0,3.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0
springside.csv,8.0,9.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,2.0,0.0
swtfox.csv,6.0,2.0,3.0,0.0,0.0,1.0,1.0,22.0,0.0,2.0,3.0,0.0
synecdoche.csv,2.0,12.0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,5.0,0.0,0.0
tmva.csv,8.0,6.0,2.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,2.0
wsmt.csv,12.0,2.0,0.0,21.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0
