,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.5,0.89,0.14,0.0,0.12,0.13,0.03,0.5,0.12,0.23,0.24,0.07
freedom-erp.csv,0.1,0.0,0.27,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.75,0.7,0.58,0.67,0.5,0.83,0.65,0.25,0.47,0.57,0.79,1.0
jmoney.csv,0.9,0.11,0.29,0.02,0.2,0.04,0.6,0.12,0.24,0.11,0.0,0.04
jsidplay2.csv,0.8,0.11,0.98,0.45,0.45,0.31,0.92,0.5,0.47,0.11,0.24,0.28
reaper3d.csv,0.0,0.0,0.24,0.61,0.5,0.0,0.0,0.75,0.24,0.63,0.0,0.67
servicestack.csv,0.65,0.22,0.56,0.55,0.65,0.36,0.08,0.25,1.0,0.29,0.28,0.61
springside.csv,0.95,0.89,0.71,1.0,0.65,0.72,0.98,0.75,0.71,0.54,0.9,0.89
swtfox.csv,0.05,0.52,0.24,0.8,1.0,0.66,0.03,0.12,0.35,0.06,0.34,0.52
synecdoche.csv,0.2,0.22,0.37,0.41,0.4,0.34,0.84,0.75,0.29,0.09,1.0,0.31
tmva.csv,0.75,0.7,0.78,0.59,0.55,0.98,0.96,0.75,0.71,0.54,0.48,0.43
wsmt.csv,0.05,0.22,0.07,0.37,0.3,0.14,0.11,0.12,0.24,0.97,0.14,0.51
