,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.65,0.7,0.5,0.0,0.33,0.43,0.56,0.57,0.4,0.31,0.76,0.57,0.88,1.0,0.83,0.48,0.45,0.43
archive-crawler.csv,0.36,0.11,0.32,0.22,0.41,0.14,0.67,0.92,0.8,0.31,0.35,1.0,0.38,0.38,0.48,0.21,0.23,0.2
customwars.csv,0.18,0.29,0.5,0.11,0.07,0.29,0.15,0.18,0.4,0.17,0.88,0.26,0.08,0.24,0.06,0.19,0.23,0.23
gbif-providertoolkit.csv,0.38,0.29,0.18,0.33,0.37,0.93,0.33,0.29,0.6,0.28,0.53,0.09,0.29,0.29,0.4,0.25,0.09,0.07
gss.csv,0.75,0.7,0.68,1.0,0.57,0.79,0.75,0.61,0.8,0.75,0.88,0.74,0.5,0.67,0.88,0.69,0.5,0.97
heekscad.csv,0.99,0.73,0.73,0.78,0.76,0.71,0.77,0.61,0.8,0.69,0.76,0.78,0.46,0.52,0.67,0.56,0.55,0.57
ikvm.csv,0.32,0.29,0.95,0.22,0.26,0.43,0.33,0.18,0.6,0.36,0.35,0.48,0.12,0.24,0.23,0.33,0.05,0.37
jaxen.csv,0.51,0.09,0.5,0.44,0.17,0.29,0.25,0.04,1.0,0.14,0.53,0.57,0.04,0.38,0.13,0.17,0.5,0.23
jcae.csv,0.25,0.16,0.32,1.0,0.3,0.14,0.21,0.1,0.4,0.19,0.18,0.13,0.21,0.29,0.23,0.12,0.05,0.13
levent.csv,0.57,0.7,0.55,0.67,0.72,0.71,0.79,1.0,0.8,0.78,0.71,0.39,0.88,0.67,0.83,0.5,0.41,0.3
nicepress.csv,0.35,0.45,0.23,0.33,0.13,0.43,0.23,0.14,0.4,1.0,0.06,0.26,0.12,0.14,0.33,0.19,0.09,0.3
pnotepad.csv,0.99,0.95,0.82,1.0,0.87,0.93,0.85,0.63,0.8,0.89,0.76,0.96,0.92,0.86,0.9,0.98,0.86,0.73
qcad2.csv,0.29,0.46,0.32,0.67,0.24,0.57,0.96,0.61,0.8,0.31,0.24,0.43,0.5,0.43,0.37,0.35,0.41,0.63
qedo.csv,0.03,0.04,0.14,0.22,0.13,0.0,0.02,0.0,0.0,0.06,0.0,0.04,0.0,0.0,0.0,0.12,0.82,0.1
quarkplusplus.csv,0.4,0.34,0.5,0.56,0.57,0.43,0.58,0.24,1.0,0.39,0.59,0.35,0.96,0.43,0.52,0.29,0.18,0.33
sigil.csv,0.35,0.3,0.09,0.33,0.5,0.5,0.71,0.63,0.4,0.44,0.65,0.26,0.58,0.33,0.98,0.23,0.14,0.23
xcsoar.csv,0.69,0.95,0.45,0.78,0.59,0.5,0.62,0.55,1.0,0.53,0.53,0.52,0.58,0.48,0.73,0.58,0.23,0.27
xuggle.csv,0.7,0.84,0.32,0.22,0.74,0.14,0.54,0.69,0.2,0.78,0.41,0.74,0.88,0.57,0.73,0.71,0.86,0.73
