,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.69,0.56,0.59,0.45,0.78,0.32,0.92,0.41,0.56,0.67,0.0,0.91,0.94
emono.csv,0.47,0.48,0.66,0.55,0.54,0.33,0.61,0.38,0.46,0.57,0.56,0.42,0.59
freedom-erp.csv,0.9,0.77,0.75,0.89,0.88,0.67,0.67,0.35,0.8,0.53,0.0,0.0,0.8
haggle.csv,0.43,0.59,0.63,0.56,0.47,0.56,0.8,0.83,0.78,0.46,0.88,0.65,0.64
jbpm.csv,0.9,0.75,0.75,0.75,0.9,0.0,0.0,0.95,0.8,0.8,0.0,0.5,0.0
jgossipforum.csv,0.47,0.83,0.68,0.45,0.44,0.65,0.82,0.83,0.95,0.83,0.39,0.36,0.51
joustsim.csv,0.48,0.53,0.57,0.41,0.54,0.8,0.5,0.71,0.58,0.73,0.44,0.36,0.49
log4net.csv,0.37,0.7,0.94,0.85,0.93,0.46,0.92,0.53,0.5,0.37,0.44,0.8,0.66
madman.csv,0.51,0.63,0.76,0.82,0.44,0.55,0.66,0.49,0.81,0.56,0.43,0.5,0.61
mediate.csv,0.44,0.65,0.67,0.7,0.46,0.49,0.62,0.42,0.58,0.55,0.8,0.48,0.66
pustefix.csv,0.71,0.62,0.48,0.63,0.68,0.9,0.5,0.75,0.83,0.75,0.44,0.55,0.62
synecdoche.csv,0.5,0.45,0.43,0.45,0.67,0.38,0.53,0.31,0.6,0.48,0.4,0.59,0.43
tmva.csv,0.4,0.4,0.42,0.52,0.46,0.32,0.53,0.31,0.44,0.48,0.56,0.92,0.97
