,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.62,0.31,0.67,0.57,0.23,0.97,0.05,0.68,0.8,0.55,0.0,0.24,0.15
emono.csv,0.88,0.63,0.67,0.52,0.69,0.95,0.63,0.82,0.8,0.64,0.5,0.76,0.69
freedom-erp.csv,0.06,0.31,0.33,0.17,0.09,0.08,0.01,0.74,0.0,0.27,0.0,0.03,0.06
haggle.csv,0.44,0.6,0.33,0.43,0.69,0.36,0.18,0.02,0.6,0.64,0.12,0.28,0.26
jbpm.csv,0.12,0.77,0.0,0.09,0.14,0.0,0.0,0.15,0.0,0.09,0.0,0.03,0.0
jgossipforum.csv,0.44,0.13,0.33,0.7,0.42,0.28,0.14,0.04,1.0,0.36,0.75,0.52,0.34
joustsim.csv,0.44,0.79,0.33,0.96,0.85,0.1,0.67,0.16,1.0,0.82,0.88,0.76,0.65
log4net.csv,0.62,0.27,1.0,0.13,0.09,0.62,0.16,0.39,0.0,0.73,1.0,0.14,0.39
madman.csv,0.69,0.19,0.33,0.13,0.36,0.46,0.22,0.53,0.2,0.82,1.0,0.34,0.26
mediate.csv,0.75,0.6,1.0,0.26,0.39,0.72,0.27,0.66,0.8,0.64,0.25,0.45,0.29
pustefix.csv,0.12,0.5,0.33,0.74,0.5,0.15,0.8,0.28,0.2,0.09,0.88,0.52,0.51
synecdoche.csv,0.5,0.71,0.67,0.48,0.28,0.72,0.53,0.98,0.2,0.82,1.0,0.62,0.99
tmva.csv,0.94,1.0,1.0,0.48,0.96,1.0,0.73,1.0,0.8,1.0,0.5,0.28,0.28
