,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.25,0.23,0.32,0.21,0.15,0.7,0.63,0.4,0.15,0.69,0.16,0.59,0.4
biopax.csv,0.83,1.0,0.81,0.88,0.72,0.93,0.91,0.95,0.62,1.0,0.86,1.0,0.0
gdis.csv,0.75,0.63,0.12,0.23,0.56,0.33,0.09,0.35,0.0,0.44,0.61,0.74,0.25
kml.csv,0.38,0.99,0.84,0.29,0.23,0.98,0.99,1.0,0.31,0.98,0.94,1.0,1.0
ppcboot.csv,0.67,0.85,0.48,0.34,0.49,0.28,0.4,0.53,0.31,1.0,0.86,0.91,0.1
repositorium.csv,0.08,0.02,0.13,0.17,0.44,0.34,0.23,0.62,0.31,0.73,0.37,0.79,0.7
rsyslog.csv,0.25,0.87,0.54,0.68,0.18,0.9,0.8,0.78,0.23,1.0,0.9,1.0,0.65
simplewebservices.csv,0.96,0.83,0.93,0.98,0.79,0.99,0.94,0.42,0.77,0.29,0.51,0.38,0.65
ultimairis.csv,0.62,1.0,0.6,0.79,1.0,0.01,0.22,0.78,0.77,0.33,0.76,0.85,0.1
wow-qrsk.csv,0.08,0.36,0.32,0.09,0.0,0.0,0.03,0.04,0.08,0.82,0.06,0.15,0.2
wxstudio.csv,0.75,0.39,0.88,0.92,0.49,0.52,0.85,0.05,0.77,0.03,0.27,0.08,0.7
xbg.csv,0.54,0.03,0.07,0.54,0.38,0.06,0.14,0.24,0.31,0.56,0.35,0.5,0.2
xqilla.csv,0.0,0.62,0.68,0.29,0.33,0.79,0.64,0.38,0.46,0.07,0.33,0.26,0.55
