,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.72,0.61,0.45,0.57,0.44,0.13,0.49,0.29,0.54,0.02,0.3,0.51,0.5
biopax.csv,0.72,0.43,0.35,0.66,0.65,0.2,0.5,0.24,0.86,0.05,0.56,0.59,0.88
gdis.csv,0.65,0.43,0.53,0.51,0.73,0.27,0.35,0.26,0.91,0.0,0.46,0.51,0.73
kml.csv,0.6,0.44,0.34,0.53,0.73,0.19,0.47,0.23,0.83,0.05,0.58,0.59,0.88
ppcboot.csv,0.73,0.48,0.45,0.62,0.74,0.25,0.53,0.28,0.77,0.05,0.48,0.57,0.86
repositorium.csv,0.25,0.09,0.01,0.24,0.17,0.4,0.05,0.09,0.35,0.07,0.38,0.4,0.41
rsyslog.csv,0.75,0.46,0.41,0.62,0.52,0.22,0.45,0.21,0.74,0.05,0.5,0.59,0.81
simplewebservices.csv,0.68,0.39,0.3,0.67,0.6,0.15,0.46,0.28,0.88,0.15,0.71,0.62,0.6
ultimairis.csv,0.74,0.43,0.39,0.67,0.65,0.29,0.63,0.27,0.87,0.0,0.36,0.53,0.74
wow-qrsk.csv,0.3,0.44,0.55,0.5,0.11,0.0,0.08,0.18,0.22,0.06,0.05,0.46,0.54
wxstudio.csv,0.65,0.28,0.18,0.65,0.43,0.19,0.39,0.0,0.63,0.0,0.67,0.18,0.43
xbg.csv,0.47,0.0,0.1,0.63,0.33,0.22,0.32,0.44,0.35,0.0,0.26,0.37,0.26
xqilla.csv,0.21,0.32,0.32,0.27,0.34,0.14,0.38,0.19,0.38,0.43,0.66,0.4,0.45
