,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.75,0.54,0.34,0.71,0.67,0.08,0.36,0.19,0.92,0.01,0.5,0.43,0.76
biopax.csv,0.57,0.28,0.21,0.53,0.53,0.11,0.33,0.13,0.86,0.02,0.42,0.41,1.0
gdis.csv,0.54,0.31,0.52,0.67,0.6,0.18,0.57,0.17,1.0,0.0,0.4,0.4,0.9
kml.csv,0.62,0.28,0.21,0.64,0.74,0.11,0.31,0.13,0.91,0.03,0.42,0.41,0.78
ppcboot.csv,0.6,0.31,0.3,0.66,0.63,0.17,0.43,0.17,0.9,0.02,0.37,0.41,0.96
repositorium.csv,0.67,0.5,0.01,0.51,0.23,0.26,0.08,0.06,0.76,0.03,0.42,0.32,0.61
rsyslog.csv,0.76,0.3,0.27,0.54,0.68,0.12,0.31,0.12,0.92,0.02,0.38,0.41,0.81
simplewebservices.csv,0.52,0.26,0.18,0.52,0.48,0.09,0.3,0.18,0.84,0.08,0.58,0.56,0.73
ultimairis.csv,0.62,0.28,0.25,0.55,0.48,0.67,0.58,0.16,0.84,0.0,0.3,0.4,0.96
wow-qrsk.csv,0.71,0.37,0.39,0.82,1.0,0.0,0.4,0.33,0.88,0.03,0.25,0.63,0.88
wxstudio.csv,0.54,0.24,0.11,0.52,0.44,0.12,0.27,0.0,0.76,0.0,0.66,0.5,0.62
xbg.csv,0.48,0.0,0.18,0.58,0.4,0.29,0.44,0.32,0.76,0.0,0.32,0.36,0.73
xqilla.csv,1.0,0.24,0.2,0.44,0.43,0.08,0.29,0.12,0.71,0.27,0.62,0.49,0.69
