,springside.csv,fluent-nhibernate.csv,jmule.csv,botsnscouts.csv,go.csv,freewrl.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.29,0.76,1.0,0.7,0.67,0.04,0.54,0.87,0.83
fluent-nhibernate.csv,0.29,1.0,0.62,0.44,0.48,0.26,0.49,0.4,0.65
freewrl.csv,0.9,1.0,0.88,0.96,0.94,0.81,0.93,0.87,0.87
go.csv,0.82,1.0,0.92,0.74,0.73,0.7,0.67,0.87,0.78
jmule.csv,0.8,0.88,0.88,0.89,0.72,0.59,0.71,0.89,0.78
magicwars.csv,0.96,1.0,1.0,0.85,1.0,0.0,0.62,0.9,0.78
springside.csv,0.76,0.59,0.46,0.26,0.82,0.37,0.45,0.82,0.57
turbotrader-bos.csv,0.33,0.76,0.0,0.3,0.43,0.22,0.33,0.7,0.7
xmemcached.csv,0.24,0.88,1.0,0.74,1.0,0.04,0.83,0.92,0.74
