,springside.csv,fluent-nhibernate.csv,jmule.csv,botsnscouts.csv,go.csv,freewrl.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.4,0.28,0.66,0.73,0.72,0.07,0.48,0.55,0.48
fluent-nhibernate.csv,0.3,0.52,0.64,0.5,0.59,0.35,0.51,0.43,0.46
freewrl.csv,0.49,0.17,0.68,0.71,0.77,0.77,0.46,0.54,0.43
go.csv,0.52,0.3,0.7,0.71,0.79,0.62,0.51,0.53,0.46
jmule.csv,0.53,0.3,0.86,0.66,0.77,0.64,0.48,0.58,0.46
magicwars.csv,0.63,0.17,0.64,0.62,0.78,0.0,0.68,0.51,0.4
springside.csv,0.65,0.28,0.51,0.38,0.79,0.43,0.57,0.55,0.44
turbotrader-bos.csv,0.38,0.34,0.0,0.43,0.59,0.32,0.45,0.64,0.5
xmemcached.csv,0.33,0.22,0.63,0.63,0.78,0.07,0.46,0.5,0.62
