,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.66,0.87,0.46,0.94,0.7,0.44,0.57,0.62,0.52,0.44,0.56,0.45
emulemorph.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8,0.0,0.0,0.0
jaxen.csv,0.91,0.0,0.9,0.83,0.0,0.0,0.0,0.8,0.89,0.67,0.0,0.0
jvcl.csv,0.64,0.0,0.93,0.97,0.79,0.95,0.57,0.65,0.0,0.8,0.0,0.83
m-m-m.csv,0.5,0.52,0.52,0.45,0.39,0.63,0.41,0.41,0.58,0.4,0.35,0.4
motu.csv,0.36,0.79,0.55,0.8,0.8,0.86,0.0,0.91,0.0,0.82,0.0,0.88
nh3d.csv,0.0,0.75,0.5,0.0,0.5,0.0,0.0,0.0,0.67,0.5,0.8,0.0
sarasvati.csv,0.77,0.75,0.0,0.9,0.0,0.0,0.9,0.5,0.5,0.92,0.88,0.0
wgs-assembler.csv,0.65,0.49,0.7,0.62,0.68,0.76,0.42,0.83,0.86,0.49,0.52,0.76
zabbix.csv,0.35,0.68,0.3,0.53,0.44,0.6,0.46,0.56,0.42,0.46,0.67,0.38
