,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.6,1.0,0.1,0.67,0.88,0.5,0.25,0.89,1.0,0.62,1.0,0.0,0.11,1.0
codeblocks.csv,0.31,0.47,0.09,0.67,0.79,0.19,0.31,0.97,0.32,0.37,0.21,0.3,0.0,0.96
ctrlr.csv,0.29,0.53,0.0,0.57,0.89,0.33,0.11,0.9,0.0,0.38,0.18,1.0,0.0,0.75
dvt.csv,0.3,0.47,0.16,0.42,0.83,0.14,1.0,0.82,0.0,0.5,0.2,0.4,0.07,0.89
flylinkdc.csv,1.0,0.62,0.0,0.5,0.88,0.25,0.36,1.0,0.25,0.54,0.21,0.18,0.1,0.95
kowari.csv,0.5,0.71,0.06,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.33,1.0,1.0
ldview.csv,0.36,0.48,0.09,0.31,0.8,0.23,0.42,0.86,0.71,1.0,0.21,0.25,0.13,0.95
maidsafe-dht.csv,0.57,1.0,0.1,0.0,1.0,1.0,0.23,0.92,0.83,0.4,0.57,0.3,0.0,1.0
n2cms.csv,0.4,0.54,0.15,1.0,0.75,0.22,0.38,0.93,0.5,0.45,0.31,0.2,0.09,0.98
nuttx.csv,0.26,0.48,0.07,0.43,1.0,0.19,0.36,0.85,0.25,0.23,0.23,0.31,0.08,0.96
rtb-team.csv,0.4,0.77,0.09,0.14,0.75,0.67,0.22,0.75,1.0,0.33,0.35,0.0,0.14,1.0
super-tux.csv,0.28,0.55,0.09,0.42,0.83,0.19,0.3,0.75,0.29,0.35,0.21,0.28,0.11,0.99
vdsf.csv,0.25,0.52,0.95,0.38,0.82,0.17,0.27,0.73,0.29,0.36,0.21,0.26,0.06,0.95
xbrlapi.csv,0.2,1.0,0.07,0.49,0.78,0.2,0.35,0.77,0.34,0.42,0.24,0.23,0.06,0.98
