,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.04,0.0,0.01,0.05,0.05,0.07,0.15,0.03,0.0,0.08,0.0,0.1,0.22,0.0
codeblocks.csv,0.67,0.22,0.99,0.07,0.85,0.37,0.29,0.08,0.76,0.46,0.66,0.47,0.22,0.4
ctrlr.csv,0.1,0.18,0.0,0.04,0.03,0.07,0.08,0.03,0.05,0.14,0.11,0.0,0.03,0.2
dvt.csv,0.21,0.75,0.24,0.41,0.38,0.32,0.0,0.08,0.16,0.19,0.41,0.1,0.35,0.6
flylinkdc.csv,0.0,0.12,0.01,0.14,0.05,0.35,0.21,0.0,0.08,0.16,0.24,0.31,0.12,0.4
kowari.csv,0.02,0.05,0.01,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0
ldview.csv,0.45,0.35,1.0,0.45,0.74,0.55,0.29,0.15,0.05,0.0,0.24,0.41,0.5,0.6
maidsafe-dht.csv,0.09,0.0,0.02,0.01,0.0,0.0,0.1,0.05,0.03,0.08,0.04,0.12,0.12,0.0
n2cms.csv,0.31,0.3,0.24,0.0,0.15,0.35,0.28,0.08,0.16,0.3,0.34,0.27,0.65,0.2
nuttx.csv,0.8,0.92,0.95,0.76,0.0,0.65,0.59,0.33,0.57,0.46,0.55,0.41,0.77,0.4
rtb-team.csv,0.15,0.08,0.18,0.16,0.15,0.03,0.18,0.18,0.0,0.11,0.16,0.14,0.23,0.0
super-tux.csv,0.95,0.7,1.0,0.53,1.0,0.98,0.98,1.0,0.97,0.97,0.98,0.93,0.69,0.2
vdsf.csv,0.89,0.9,0.0,0.96,0.97,0.9,0.84,1.0,1.0,1.0,1.0,1.0,0.86,1.0
xbrlapi.csv,0.44,0.0,0.73,0.45,0.82,0.6,0.33,0.33,0.78,0.38,0.49,0.39,0.64,0.2
