,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.84,0.9,0.99,0.84,0.93,0.72,0.89,0.93,0.67,0.77,0.05,1.01,0.75,0.92
codeblocks.csv,0.69,0.84,0.99,0.79,0.9,0.74,0.75,0.08,0.77,0.7,0.74,0.64,1.02,0.67
ctrlr.csv,0.9,0.83,1.0,0.92,0.96,0.86,0.98,0.92,1.0,0.87,0.91,0.05,1.0,0.99
dvt.csv,0.79,0.83,0.58,0.68,0.71,0.85,0.02,0.88,1.01,0.69,0.74,0.82,0.79,0.95
flylinkdc.csv,0.0,0.82,1.0,0.8,0.93,0.61,0.74,0.78,0.94,0.69,0.8,0.87,0.86,0.73
kowari.csv,0.95,0.88,0.99,1.0,0.94,1.0,1.0,1.0,0.87,1.0,1.0,0.95,0.43,0.94
ldview.csv,0.56,0.77,1.0,0.82,0.82,0.62,0.58,0.69,0.67,0.0,0.8,0.74,0.52,0.73
maidsafe-dht.csv,0.68,0.95,0.97,1.0,0.99,0.0,0.93,0.8,0.67,0.91,0.81,0.87,1.01,0.91
n2cms.csv,0.53,0.73,0.61,0.08,0.92,0.67,0.66,0.66,0.62,0.64,0.55,0.85,0.71,0.53
nuttx.csv,0.83,0.94,0.97,0.76,0.01,0.74,0.62,0.49,0.78,0.89,0.67,0.63,0.82,0.64
rtb-team.csv,0.75,0.77,0.84,0.97,0.92,0.72,0.9,0.84,0.07,0.91,0.69,1.01,0.62,0.88
super-tux.csv,0.95,0.73,1.0,0.67,1.0,0.98,0.98,1.0,0.97,0.98,0.97,0.93,0.69,0.2
vdsf.csv,0.91,0.9,0.15,0.97,0.98,0.93,0.87,1.0,1.0,1.0,1.0,1.0,0.96,1.0
xbrlapi.csv,0.83,0.02,0.83,0.56,0.91,0.7,0.66,0.71,0.78,0.65,0.65,0.77,0.86,0.61
