,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.53,0.56,0.55,0.95,0.82,0.82,0.46,0.4,0.67,0.39,0.76,0.54
gdis.csv,0.64,0.45,0.78,0.85,0.46,0.7,0.74,0.53,0.38,0.6,0.58,0.43
kml.csv,0.54,0.35,0.43,0.73,0.44,0.44,0.39,0.41,0.42,0.39,0.47,0.35
ppcboot.csv,0.52,0.37,0.44,0.85,0.4,0.46,0.46,0.38,0.4,0.39,0.48,0.36
repositorium.csv,0.67,0.88,0.99,0.75,0.93,0.65,0.95,0.64,0.91,0.38,0.82,0.66
rsyslog.csv,0.42,0.41,0.48,0.5,0.73,0.39,0.49,0.82,0.29,0.39,0.36,0.35
simplewebservices.csv,0.56,0.37,0.61,0.58,0.39,0.47,0.49,0.58,0.37,0.5,0.54,0.44
ultimairis.csv,0.52,0.35,0.45,0.66,0.41,0.91,0.75,0.41,0.38,0.88,0.53,0.36
wow-qrsk.csv,0.5,0.55,0.6,0.98,0.8,0.0,0.75,0.67,0.88,0.44,0.0,0.85
wxstudio.csv,0.59,0.58,0.54,0.63,0.71,0.59,0.51,0.9,0.45,0.93,0.5,0.8
xbg.csv,0.89,0.83,0.95,0.94,0.95,0.0,0.97,0.65,0.75,0.67,0.93,0.71
xqilla.csv,0.0,0.88,0.61,0.78,0.89,0.43,0.65,0.8,0.71,0.9,0.69,0.97
