,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.43,0.29,0.47,0.28,0.25,0.36,0.66,0.56,0.35,0.33
flexpay.csv,0.59,0.62,0.28,0.37,0.04,0.28,0.36,0.49,0.31,0.67
jstock.csv,0.24,0.29,0.33,0.21,0.02,0.15,0.07,0.16,0.15,0.13
keyczar.csv,0.03,0.46,0.03,0.21,0.4,0.06,0.16,0.23,0.05,0.33
modellus.csv,0.51,0.12,0.45,0.12,0.05,0.2,0.34,0.09,0.28,0.27
open-data-kit.csv,0.57,0.71,0.82,0.98,0.29,0.76,0.23,0.47,0.73,0.07
phet.csv,0.27,0.75,0.25,0.56,0.87,0.6,0.86,0.84,0.58,0.93
qtractor.csv,0.48,0.25,0.43,0.33,0.2,0.38,0.25,0.16,0.35,0.0
sumatrapdf.csv,0.91,0.58,0.95,0.79,0.15,0.58,0.82,0.56,0.81,0.4
synergyspace.csv,0.47,0.29,0.62,0.12,0.38,0.23,0.36,0.56,0.25,0.33
