,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.62,0.53,0.47,0.64,0.55,0.27,0.58,0.57,0.31,0.45
flexpay.csv,0.39,0.5,0.52,0.17,0.16,0.56,0.51,0.7,0.39,0.38
jstock.csv,0.14,0.59,0.46,0.42,0.27,0.56,0.43,0.78,0.27,0.51
keyczar.csv,0.0,0.13,0.02,0.22,0.07,0.01,0.1,0.18,0.05,0.75
modellus.csv,0.31,0.59,0.57,0.43,0.53,0.78,0.73,0.36,0.42,0.22
open-data-kit.csv,0.49,0.6,0.48,0.09,0.63,0.58,0.75,0.85,0.47,0.29
phet.csv,0.66,0.42,0.18,0.31,0.26,0.28,0.34,0.39,0.36,0.27
qtractor.csv,0.32,0.75,0.55,0.59,0.56,0.74,0.68,0.51,0.41,0.05
sumatrapdf.csv,0.31,0.75,0.21,0.54,0.76,0.73,0.51,0.8,0.5,0.67
synergyspace.csv,0.38,0.43,0.6,0.33,0.73,0.58,0.53,0.46,0.64,0.37
