,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.7,0.43,0.63,0.48,0.6,0.87,0.49,0.5,0.83,0.52
flexpay.csv,0.43,0.67,0.64,0.95,0.83,0.49,0.53,0.39,0.53,0.86
jstock.csv,0.73,0.43,0.59,0.65,0.88,0.52,0.69,0.65,0.86,0.46
keyczar.csv,0.86,0.93,0.93,0.77,0.67,0.83,0.92,0.75,0.83,0.43
modellus.csv,0.52,0.61,0.47,0.85,0.83,0.42,0.39,0.88,0.61,0.77
open-data-kit.csv,0.45,0.38,0.44,0.38,0.57,0.4,0.48,0.45,0.57,0.77
phet.csv,0.85,0.62,0.99,0.67,0.46,0.7,0.54,0.39,0.76,0.44
qtractor.csv,0.45,0.52,0.48,0.54,0.67,0.41,0.44,0.62,0.47,0.5
sumatrapdf.csv,0.38,0.4,0.4,0.4,0.61,0.42,0.4,0.43,0.51,0.44
synergyspace.csv,0.56,0.83,0.49,0.91,0.49,0.51,0.53,0.47,0.78,0.86
