,google-collections.csv,forester-atv.csv,mediate.csv,st-filteredstatistics.csv,projectfactory.csv,geotools.csv,l2j.csv,thedata.csv
forester-atv.csv,0.36,0.77,0.3,0.27,0.1,0.3,0.17,0.29
geotools.csv,0.66,0.62,0.5,0.45,0.45,0.63,0.35,0.55
google-collections.csv,0.84,0.09,0.0,0.0,0.0,0.0,0.0,0.0
l2j.csv,0.39,0.3,0.0,0.37,0.48,0.48,0.73,0.28
mediate.csv,0.21,0.44,0.71,0.31,0.12,0.4,0.45,0.0
projectfactory.csv,0.26,0.66,0.6,0.43,0.62,0.64,0.54,0.29
st-filteredstatistics.csv,0.35,0.41,0.0,0.8,0.0,0.6,0.66,0.21
thedata.csv,0.0,0.75,0.56,0.47,0.52,0.5,0.62,0.98
