,f1,g,recall,precision,pf,wins
bulmages.csv,0.185,0.185,0.155,0.325,0.09,1
codeblocks.csv,0.53,0.545,0.685,0.52,0.475,15
grisbi.csv,0.6,0.56,0.85,0.495,0.76,14
libmesh.csv,0.26,0.29000000000000004,0.32,0.395,0.4,3
mesa3d.csv,0.43,0.485,0.5,0.51,0.435,7
panda3d.csv,0.535,0.52,0.585,0.47,0.375,13
proftp.csv,0.16,0.125,0.105,0.53,0.07500000000000001,2
qmmp.csv,0.51,0.51,0.62,0.495,0.515,10
red5.csv,0.59,0.51,0.815,0.495,0.76,12
soar.csv,0.6,0.09,0.98,0.47,0.98,5
super-tux.csv,0.495,0.555,0.74,0.46499999999999997,0.635,11
t-2.csv,0.44,0.44999999999999996,0.605,0.485,0.525,6
tart.csv,0.425,0.485,0.575,0.475,0.44999999999999996,8
tcvp.csv,0.0,0.0,0.0,0.0,0.01,0
utgb.csv,0.435,0.455,0.425,0.475,0.275,9
xbrlapi.csv,0.31,0.33499999999999996,0.29000000000000004,0.45999999999999996,0.245,4
