,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.0,0.0,0.37,0.0,0.81,0.23,0.02,0.17,0.12,0.0,0.8,0.15,0.16,0.35,0.35,0.0
codeblocks.csv,0.64,0.73,0.49,0.35,0.95,0.73,0.74,0.43,0.88,0.89,1.0,0.48,0.73,0.16,0.59,0.0
grisbi.csv,0.76,0.73,0.89,0.93,0.95,0.93,0.82,0.67,0.81,0.78,1.0,0.9,0.84,0.71,0.94,0.86
libmesh.csv,0.17,0.17,0.37,0.09,0.33,0.03,0.3,0.11,0.81,1.0,0.4,0.31,0.53,0.39,0.52,0.0
mesa3d.csv,0.29,0.64,0.4,0.49,0.0,0.8,0.33,0.58,0.46,1.0,0.8,0.4,0.61,0.61,0.51,0.49
panda3d.csv,0.05,0.47,0.6,0.63,0.1,0.57,0.61,0.1,0.23,0.78,0.6,0.69,0.52,0.77,0.65,0.48
proftp.csv,0.02,0.23,0.46,0.09,0.24,0.77,0.33,0.05,0.12,0.0,0.0,0.35,0.06,0.58,0.05,0.01
qmmp.csv,0.57,0.4,0.43,0.79,0.57,0.57,0.73,0.86,0.92,0.78,0.6,0.38,0.68,0.52,0.68,0.64
red5.csv,0.95,0.84,0.8,0.72,0.67,0.73,0.53,0.83,0.85,1.0,1.0,0.77,0.94,0.68,0.71,0.88
soar.csv,0.83,0.98,0.71,0.91,1.0,1.0,0.98,0.73,1.0,1.0,1.0,1.0,0.91,0.61,0.95,1.0
super-tux.csv,0.36,0.9,0.6,0.51,0.71,0.93,0.61,0.77,0.73,1.0,0.8,0.75,0.9,0.1,0.71,0.83
t-2.csv,0.38,0.84,0.43,0.19,0.81,0.17,0.92,0.65,0.54,1.0,1.0,0.42,0.84,0.68,0.56,0.39
tart.csv,0.26,0.16,0.74,0.58,0.57,1.0,0.95,0.49,0.62,1.0,1.0,0.33,0.37,0.61,0.57,0.12
tcvp.csv,0.05,0.12,0.0,0.05,0.0,0.0,0.02,0.04,0.0,0.78,0.0,0.0,0.01,0.0,0.0,0.0
utgb.csv,0.07,0.45,0.74,0.3,0.43,0.6,0.39,0.08,0.19,0.56,0.4,0.42,0.47,0.48,0.4,0.46
xbrlapi.csv,0.71,0.03,0.49,0.67,0.43,0.27,0.45,0.43,0.27,0.0,0.2,0.31,0.01,0.87,0.19,0.01
