,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.32,0.05,0.0,0.12,0.0,0.71,0.21,0.0,0.0,0.29,0.81,0.0,0.86,0.19
codeblocks.csv,0.57,0.4,0.46,0.27,0.38,0.71,0.33,0.72,0.0,0.95,0.24,0.76,0.71,0.74
ctrlr.csv,0.27,0.43,0.0,0.58,0.04,0.07,0.31,0.12,0.4,0.29,0.33,0.76,0.0,0.19
dvt.csv,0.73,0.45,0.27,0.27,0.0,0.29,0.69,0.68,0.13,0.48,0.67,0.71,0.0,0.34
flylinkdc.csv,0.68,0.88,0.91,0.9,0.73,0.86,0.93,0.38,1.0,0.48,0.67,0.71,1.0,0.71
kowari.csv,0.3,0.29,0.04,0.42,0.26,0.43,0.14,0.36,0.6,0.9,0.33,0.9,0.57,0.54
ldview.csv,0.92,0.64,0.68,0.5,0.49,0.86,0.57,0.58,0.27,0.71,0.62,0.24,0.86,0.67
maidsafe-dht.csv,0.27,0.24,0.62,0.33,0.72,0.71,0.19,0.66,0.87,0.29,0.48,0.29,0.71,0.37
n2cms.csv,0.84,0.67,0.65,0.69,0.22,0.71,0.5,0.34,0.53,0.52,0.76,0.14,0.86,0.45
nuttx.csv,0.54,0.17,0.12,0.12,0.72,0.29,0.14,0.58,0.2,0.67,0.05,0.43,0.57,0.42
rtb-team.csv,0.24,0.26,0.0,0.58,0.0,0.36,0.21,0.08,0.8,0.05,0.52,0.05,0.29,0.09
super-tux.csv,0.89,0.38,0.65,0.33,0.77,1.0,0.33,0.89,0.33,0.95,0.76,0.81,0.71,0.91
vdsf.csv,0.68,0.88,0.36,0.81,0.67,0.86,0.81,0.88,1.0,0.67,0.9,0.62,0.43,0.81
xbrlapi.csv,0.16,0.76,0.0,0.4,0.0,0.21,0.24,0.07,0.27,0.24,0.43,0.1,0.14,0.01
