,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.85,0.7,0.78,0.79,0.96,0.55,0.68,0.49,0.72,0.7,0.74,0.76,0.95,0.63,0.72,0.92
chipster.csv,0.96,0.77,0.53,0.7,0.81,0.67,0.58,0.67,0.56,1.0,0.84,0.87,0.88,0.87,0.75,1.05
delphilhlplib.csv,0.59,0.78,0.63,0.32,0.89,0.81,0.89,0.71,0.73,0.42,0.82,0.67,0.77,0.57,0.72,1.03
emite.csv,0.76,0.73,0.71,0.96,0.79,0.94,0.84,0.76,0.82,0.84,0.74,0.56,0.82,0.6,0.75,1.0
hydrate.csv,0.93,0.68,0.76,0.63,0.72,0.6,0.7,0.76,0.44,0.75,0.66,0.75,0.93,0.65,0.58,0.73
ivataopenportal.csv,0.64,0.85,0.98,0.73,0.38,0.91,0.9,0.89,0.88,0.71,0.68,0.77,0.67,0.72,0.79,0.97
jppf-project.csv,0.58,0.98,0.82,0.61,0.79,0.78,0.29,0.85,0.62,0.86,0.95,1.0,0.7,0.67,0.84,0.65
kolmafia.csv,0.89,0.85,0.81,0.5,0.98,0.97,0.88,0.82,0.41,0.87,0.91,0.87,0.63,0.88,0.6,0.93
l2j.csv,0.76,0.94,0.69,1.0,0.79,0.71,0.84,0.68,0.65,0.92,0.76,0.76,0.47,0.79,0.71,1.16
mb-unit.csv,0.49,0.54,0.54,0.87,0.71,0.76,0.73,0.64,0.72,0.79,0.77,0.86,0.79,0.53,0.86,0.87
opde.csv,0.45,0.76,0.65,0.95,0.6,0.72,0.84,0.64,0.82,0.66,0.64,0.63,0.72,0.58,0.79,0.9
pamguard.csv,0.74,0.61,0.76,0.94,0.67,0.54,0.61,0.64,0.66,1.0,1.01,0.77,0.74,0.79,0.71,0.81
quark.csv,0.96,0.9,0.96,0.87,1.0,0.98,1.0,0.98,0.94,0.29,0.89,0.62,0.91,0.88,0.91,1.0
stajistics.csv,0.82,0.66,0.59,1.0,0.64,0.82,0.8,0.87,0.97,0.8,0.56,0.77,0.75,0.42,0.95,0.96
tigermud.csv,0.73,0.71,0.7,0.57,0.99,0.74,0.48,0.69,0.49,0.92,0.57,0.68,0.87,0.56,0.75,0.58
