,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.36,0.3,0.0,0.74,0.2,0.32,0.61,0.12,0.44,0.4
arsenal-1.csv,0.0,0.34,0.68,0.17,0.19,0.24,0.16,0.59,0.28,0.31
barracudamvc.csv,0.71,0.6,0.13,0.0,0.54,0.21,0.35,0.45,0.42,0.0
irplus.csv,0.56,0.59,0.3,0.7,0.4,0.59,0.79,0.44,0.54,0.53
lite.csv,0.36,0.41,0.62,0.21,0.24,0.32,0.74,0.69,0.43,0.17
mevenide.csv,0.45,0.41,0.22,0.11,0.17,0.05,0.09,0.77,0.09,0.3
ontopia.csv,0.28,0.32,0.47,0.53,0.81,0.45,0.48,0.17,0.63,0.58
openintents.csv,0.3,0.56,0.13,0.26,0.28,0.5,0.69,0.33,0.36,0.45
ta3d.csv,0.35,0.16,0.33,0.06,0.28,0.32,0.09,0.28,0.09,0.49
tweetsharp.csv,0.44,0.61,0.6,0.45,0.56,0.47,0.26,0.31,0.77,0.56
