,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.31,0.26,0.0,0.73,0.17,0.28,0.6,0.1,0.4,0.37
arsenal-1.csv,0.82,0.3,0.7,0.14,0.16,0.2,0.13,0.66,0.24,0.26
barracudamvc.csv,0.7,0.87,0.96,0.91,0.88,1.0,0.93,0.52,0.98,1.0
irplus.csv,0.71,0.83,0.26,0.73,0.41,0.56,0.87,0.41,0.64,0.51
lite.csv,0.55,0.43,0.67,0.18,0.2,0.28,0.73,0.69,0.38,0.14
mevenide.csv,0.65,0.39,0.19,0.09,0.14,0.04,0.07,0.76,0.07,0.26
ontopia.csv,0.24,0.87,0.56,0.64,0.82,0.44,0.67,0.14,0.95,0.86
openintents.csv,0.26,0.52,0.85,0.23,0.25,0.88,0.8,0.31,0.45,0.69
ta3d.csv,0.32,0.13,0.81,0.05,0.25,0.28,0.07,0.24,0.07,0.49
tweetsharp.csv,0.4,0.61,0.89,0.82,0.51,0.48,0.87,0.28,0.76,0.6
