,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.47,0.29,0.0,0.71,0.28,0.38,0.49,0.17,0.53,0.48
arsenal-1.csv,0.82,0.33,0.66,0.23,0.26,0.27,0.22,0.38,0.36,0.41
barracudamvc.csv,0.8,0.6,0.63,0.55,0.87,0.54,0.42,0.28,0.85,0.81
irplus.csv,0.77,0.58,0.36,0.64,0.53,0.55,0.58,0.31,0.68,0.61
lite.csv,0.64,0.36,0.59,0.28,0.32,0.35,0.61,0.53,0.53,0.24
mevenide.csv,0.72,0.38,0.26,0.16,0.24,0.07,0.12,0.68,0.13,0.4
ontopia.csv,0.37,0.55,0.47,0.49,0.88,0.38,0.35,0.17,0.86,0.78
openintents.csv,0.4,0.56,0.58,0.24,0.38,0.53,0.48,0.21,0.52,0.67
ta3d.csv,0.46,0.21,0.57,0.09,0.37,0.39,0.09,0.29,0.13,0.57
tweetsharp.csv,0.55,0.56,0.65,0.55,0.67,0.39,0.39,0.21,0.83,0.65
