,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.7,0.82,1.0,0.35,0.86,0.73,0.51,0.9,0.68,0.73
arsenal-1.csv,1.02,0.78,0.49,0.86,0.91,0.82,0.87,0.67,0.79,0.74
barracudamvc.csv,0.39,0.74,0.97,1.0,0.79,0.95,0.9,0.85,0.87,1.0
irplus.csv,0.76,0.75,0.76,0.47,0.87,0.52,0.44,0.71,0.76,0.61
lite.csv,0.96,0.87,0.61,0.82,0.83,0.74,0.36,0.43,0.63,0.86
mevenide.csv,0.87,0.76,0.85,0.91,0.93,0.96,0.93,0.29,0.94,0.75
ontopia.csv,0.79,0.92,0.84,0.77,0.28,0.75,0.85,0.88,0.73,0.76
openintents.csv,0.75,0.54,0.98,0.9,0.83,0.83,0.6,0.87,0.97,0.87
ta3d.csv,0.81,0.87,0.92,0.95,0.9,0.73,0.94,0.77,0.93,0.72
tweetsharp.csv,0.67,0.56,0.75,0.86,0.51,0.75,0.94,0.85,0.31,0.69
