,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,tcl.csv,decidr.csv,glas.csv
chipster.csv,0.43,0.4,0.52,0.62,0.35,0.55,0.39,0.52,0.92
decidr.csv,0.67,0.42,0.62,0.59,0.4,0.48,0.69,0.46,0.66
glas.csv,0.48,0.52,0.67,0.43,0.4,0.47,0.37,0.54,0.62
hatari.csv,0.54,0.43,0.57,0.42,0.44,0.45,0.34,0.55,0.91
ltp.csv,0.62,0.58,0.72,0.81,0.45,0.63,0.59,0.56,0.8
net-snmp.csv,0.57,0.56,0.71,0.67,0.61,0.61,0.64,0.48,0.49
opde.csv,0.56,0.43,0.51,0.76,0.58,0.51,0.65,0.48,0.9
powerfolder-.csv,0.8,0.69,0.0,0.86,0.97,0.97,0.6,0.98,0.0
tcl.csv,0.92,0.69,0.93,0.83,0.99,0.92,0.51,0.99,0.96
