,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.55,0.7,0.71,0.69,0.85,0.2,0.0,0.5,0.65,0.91,0.41,0.85
freedom-erp.csv,0.55,0.07,0.27,0.0,0.08,0.07,0.75,0.0,0.18,0.11,0.72,0.0
javaprofiler.csv,0.65,0.56,0.44,0.86,0.45,0.57,1.0,0.25,0.35,0.34,0.66,0.79
jmoney.csv,0.9,0.85,0.85,0.63,0.52,0.4,0.6,0.62,0.59,0.71,0.66,0.25
jsidplay2.csv,0.9,0.7,0.83,0.63,0.7,0.69,0.99,0.25,0.88,0.97,0.48,0.87
reaper3d.csv,0.8,0.74,0.61,0.22,0.18,0.25,0.73,0.75,0.53,0.43,0.62,0.32
servicestack.csv,0.0,0.0,0.0,0.08,0.05,0.01,0.0,0.0,0.71,0.0,0.0,0.01
springside.csv,0.3,0.93,0.34,0.69,0.3,0.4,0.44,1.0,0.71,0.26,0.69,0.2
swtfox.csv,0.2,0.48,0.54,1.0,0.6,0.41,0.25,0.62,0.88,0.17,0.41,0.48
synecdoche.csv,0.75,0.74,0.69,0.27,0.45,0.48,0.98,0.5,0.41,0.69,0.62,0.29
tmva.csv,0.95,0.7,1.0,1.0,0.82,0.8,1.0,0.88,1.0,0.86,0.28,0.99
wsmt.csv,0.2,0.19,0.02,0.24,0.02,0.02,0.12,0.0,0.35,0.74,0.03,0.49
