,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.45,0.66,0.7,0.43,0.54,0.32,0.0,0.2,0.32,0.7,0.42,0.75
freedom-erp.csv,0.61,0.1,0.42,0.0,0.11,0.12,0.76,0.0,0.14,0.17,0.52,0.0
javaprofiler.csv,0.48,0.4,0.55,0.51,0.4,0.65,0.73,0.08,0.38,0.39,0.49,0.85
jmoney.csv,0.8,0.58,0.85,0.52,0.38,0.52,0.65,0.18,0.53,0.6,0.53,0.38
jsidplay2.csv,0.57,0.45,0.87,0.45,0.44,0.75,0.73,0.06,0.43,0.72,0.49,0.76
reaper3d.csv,0.59,0.65,0.7,0.28,0.24,0.38,0.68,0.25,0.36,0.43,0.49,0.45
servicestack.csv,0.0,0.0,0.0,0.14,0.09,0.01,0.0,0.0,0.65,0.0,0.0,0.03
springside.csv,0.26,0.54,0.46,0.61,0.28,0.51,0.53,0.16,0.47,0.33,0.47,0.32
swtfox.csv,0.13,0.37,0.6,0.54,0.61,0.52,0.33,0.1,0.42,0.24,0.46,0.57
synecdoche.csv,0.61,0.51,0.78,0.32,0.35,0.61,0.78,0.19,0.28,0.61,0.62,0.38
tmva.csv,0.49,0.51,0.86,0.62,0.48,0.83,0.73,0.15,0.42,0.66,0.36,0.8
wsmt.csv,0.3,0.27,0.03,0.3,0.04,0.04,0.21,0.0,0.23,0.8,0.06,0.6
