,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.0,0.34,0.17,0.34,0.61,0.77,0.69,0.7,0.67,0.65,0.17
aztec.csv,0.21,0.79,0.38,0.67,0.73,0.52,0.38,0.12,0.1,0.76,0.44
bl-toolkit.csv,0.74,0.26,0.37,0.0,0.21,0.34,0.0,0.45,0.05,0.42,0.0
clamav.csv,0.44,0.37,0.0,0.79,0.55,0.69,0.44,0.63,0.49,0.43,0.57
fm-classic.csv,0.07,0.0,0.99,0.0,0.0,0.32,0.18,0.0,0.05,0.11,0.05
kml.csv,0.71,0.68,0.41,0.68,0.75,0.69,0.66,0.61,0.73,0.35,0.13
lufa-lib.csv,0.66,0.66,0.36,0.61,0.61,0.46,0.67,0.46,0.57,0.73,0.34
mplayer-ce.csv,0.63,0.28,0.0,0.29,0.66,0.68,0.51,0.56,0.75,0.7,0.58
qmmp.csv,0.65,0.57,0.85,0.61,0.69,0.49,0.6,0.68,0.54,0.68,0.35
xapian.csv,0.44,0.38,0.0,0.24,0.48,0.73,0.47,0.58,0.74,0.31,0.6
xtreemfs.csv,0.65,0.84,0.37,0.61,0.77,0.58,0.65,0.28,0.54,0.83,0.05
