,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,1.0,0.06,0.96,0.17,0.74,0.25,0.57,0.45,0.61,0.57,0.96
aztec.csv,0.09,0.21,0.01,0.53,0.23,0.42,0.36,0.03,0.01,0.1,0.85
bl-toolkit.csv,0.18,0.93,0.32,1.0,0.95,0.84,1.0,0.65,0.99,0.62,1.0
clamav.csv,0.32,0.86,1.0,0.25,0.69,0.47,0.46,0.44,0.81,0.84,0.53
fm-classic.csv,0.05,0.0,0.07,0.0,0.03,0.05,0.02,0.02,0.0,0.11,0.02
kml.csv,0.32,0.3,0.88,0.5,0.23,0.67,0.45,0.42,0.28,0.9,0.97
lufa-lib.csv,0.27,0.36,0.37,0.5,0.41,0.62,0.29,0.18,0.67,0.57,0.28
mplayer-ce.csv,0.64,0.46,1.0,0.17,0.38,0.65,0.39,0.73,0.52,0.64,0.31
qmmp.csv,0.32,0.57,0.47,0.33,0.33,0.82,0.75,0.16,0.15,0.64,0.9
xapian.csv,0.82,0.83,1.0,0.17,0.28,0.47,0.83,0.5,0.2,0.67,0.66
xtreemfs.csv,0.32,0.37,0.19,0.5,0.26,0.71,0.66,0.1,0.16,0.23,0.99
