,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.42,0.96,0.29,0.92,0.35,0.48,0.56,0.45,0.37,0.39,0.36
aztec.csv,0.82,0.81,0.5,0.44,0.46,0.53,0.61,0.88,0.67,0.45,0.38
bl-toolkit.csv,0.53,0.46,0.65,0.39,0.38,0.56,0.52,0.69,0.41,0.55,0.37
clamav.csv,0.56,0.42,0.3,0.44,0.37,0.39,0.4,0.38,0.36,0.37,0.38
fm-classic.csv,0.75,0.0,0.88,0.0,0.0,0.95,0.96,0.0,0.0,0.97,0.95
kml.csv,0.53,0.65,0.32,0.45,0.44,0.4,0.57,0.45,0.55,0.31,0.38
lufa-lib.csv,0.55,0.77,0.65,0.52,0.47,0.58,0.74,0.68,0.51,0.36,0.79
mplayer-ce.csv,0.47,0.65,0.3,0.82,0.44,0.42,0.63,0.42,0.55,0.34,0.58
qmmp.csv,0.49,0.46,0.49,0.5,0.45,0.41,0.61,0.55,0.73,0.34,0.39
xapian.csv,0.55,0.49,0.3,0.9,0.67,0.47,0.59,0.57,0.7,0.64,0.46
xtreemfs.csv,0.56,0.67,0.86,0.45,0.45,0.47,0.53,0.86,0.67,0.38,0.38
