,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,0.0,3.0,26.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,0.0
aztec.csv,0.0,9.0,0.0,5.0,1.0,0.0,7.0,0.0,1.0,3.0,0.0
bl-toolkit.csv,0.0,47.0,16.0,13.0,3.0,0.0,11.0,2.0,1.0,2.0,0.0
clamav.csv,0.0,65.0,29.0,0.0,4.0,1.0,5.0,4.0,10.0,4.0,0.0
fm-classic.csv,0.0,318.0,2.0,55.0,74.0,0.0,0.0,124.0,0.0,1.0,1.0
kml.csv,0.0,13.0,25.0,4.0,3.0,1.0,3.0,3.0,4.0,5.0,0.0
lufa-lib.csv,0.0,28.0,21.0,6.0,5.0,1.0,4.0,2.0,0.0,5.0,0.0
mplayer-ce.csv,0.0,53.0,29.0,1.0,2.0,1.0,2.0,0.0,1.0,4.0,0.0
qmmp.csv,1.0,26.0,14.0,2.0,2.0,0.0,11.0,0.0,3.0,3.0,0.0
xapian.csv,0.0,83.0,29.0,5.0,3.0,1.0,10.0,5.0,1.0,3.0,0.0
xtreemfs.csv,2.0,18.0,9.0,4.0,0.0,1.0,5.0,2.0,2.0,3.0,0.0
