,glelite.csv,yield.csv,ivataopenportal.csv,qtractor.csv,benojt.csv,emftriple.csv,javagroups.csv
benojt.csv,1.0,1.0,0.89,1.0,0.0,0.84,0.97
emftriple.csv,0.33,0.56,0.13,0.42,0.0,0.11,0.1
glelite.csv,0.0,0.24,0.99,0.83,1.0,0.81,0.76
ivataopenportal.csv,0.33,0.71,0.34,0.92,1.0,0.68,0.96
javagroups.csv,0.33,0.31,0.21,0.58,0.0,0.07,0.3
qtractor.csv,0.33,0.32,0.18,0.29,0.67,0.33,0.84
yield.csv,0.33,0.21,1.0,0.46,1.0,0.89,0.87
