,brlcad.csv,xmemcached.csv,fceugc.csv,jaolt.csv,kmess.csv,google-gears.csv,ftm.csv,jcache.csv
brlcad.csv,0.39,0.32,0.43,0.67,0.62,0.95,0.5,0.0
fceugc.csv,0.3,0.19,0.54,0.72,0.69,0.84,0.46,0.36
ftm.csv,0.25,0.56,0.43,0.86,0.76,0.83,0.63,0.84
google-gears.csv,0.29,0.33,0.38,0.75,0.69,0.88,0.47,0.42
jaolt.csv,0.18,0.49,0.38,0.76,0.66,0.82,0.57,0.46
jcache.csv,0.32,0.54,0.41,0.76,0.7,0.77,0.47,0.82
kmess.csv,0.0,0.32,0.38,0.82,0.72,1.0,0.6,0.74
xmemcached.csv,0.25,0.6,0.27,0.73,0.6,0.75,0.42,0.4
