,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,exl.csv
avifile.csv,0.98,0.8,0.94,0.93,0.89,0.96,0.0,0.96,0.83,0.0,0.94,0.0,0.75,0.86,0.5,0.9,0.67,0.99,0.81,0.93
baadengine.csv,0.44,0.48,0.38,0.46,0.41,0.42,0.47,0.36,0.36,0.42,0.43,0.34,0.39,0.41,0.42,0.33,0.39,0.42,0.62,0.36
bibedt.csv,0.95,0.9,0.96,0.81,0.75,0.92,0.97,0.98,0.88,0.94,0.97,0.67,0.88,0.74,0.98,0.97,0.93,0.86,0.8,0.57
cascading.csv,0.49,0.4,0.45,0.51,0.47,0.48,0.5,0.49,0.46,0.38,0.45,0.39,0.45,0.38,0.52,0.34,0.44,0.63,0.63,0.39
dataobjectsdotnet.csv,0.9,0.82,0.88,0.93,0.9,0.81,0.71,0.86,0.98,0.72,0.71,0.61,0.91,0.73,0.82,0.75,0.75,0.64,0.77,0.62
exl.csv,0.49,0.37,0.42,0.37,0.4,0.43,0.47,0.36,0.39,0.45,0.47,0.38,0.39,0.35,0.42,0.35,0.36,0.47,0.53,0.42
gogoego.csv,0.94,0.84,0.92,0.93,0.83,0.9,0.65,0.85,0.9,0.92,0.57,0.89,0.48,0.8,0.94,0.94,0.86,0.85,0.88,0.35
httpcontentparser.csv,0.96,0.5,0.95,0.91,0.93,0.96,0.83,0.95,0.98,0.94,0.94,0.5,0.83,0.83,0.95,0.92,0.93,0.95,0.65,0.86
impala.csv,0.99,0.67,0.95,0.46,0.51,0.53,0.86,0.45,0.47,0.0,0.97,0.62,0.89,0.84,0.7,0.96,0.53,0.65,0.67,0.9
jaxlib.csv,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
jgameai.csv,0.92,0.75,0.88,0.86,0.93,0.84,0.97,0.72,0.98,0.73,0.83,0.67,0.5,0.0,0.88,0.98,0.92,0.97,0.67,0.5
jhotdraw.csv,0.72,0.93,0.95,0.94,0.59,0.86,0.0,0.86,0.98,0.94,0.0,0.69,0.85,0.84,0.96,0.88,0.94,0.81,0.69,0.83
loki-lib.csv,0.6,0.57,0.52,0.44,0.36,0.52,0.6,0.44,0.56,0.33,0.52,0.42,0.43,0.37,0.51,0.42,0.44,0.5,0.61,0.55
patterntesting.csv,0.44,0.56,0.57,0.47,0.45,0.5,0.52,0.56,0.54,0.52,0.53,0.42,0.54,0.41,0.9,0.49,0.56,0.55,0.89,0.37
pokeglobal.csv,0.81,0.49,0.38,0.52,0.5,0.56,0.57,0.49,0.34,0.5,0.62,0.33,0.39,0.41,0.51,0.38,0.42,0.56,0.61,0.52
snakeyaml.csv,0.75,0.61,0.7,0.49,0.65,0.69,0.58,0.56,0.55,0.68,0.91,0.46,0.84,0.43,0.96,0.66,0.71,0.53,0.48,0.45
unflobtactical.csv,0.53,0.9,0.96,0.77,0.64,0.67,0.52,0.85,0.97,0.69,0.49,0.83,0.64,0.46,0.93,0.88,0.56,0.77,0.73,0.42
werx.csv,0.41,0.37,0.36,0.42,0.4,0.48,0.54,0.36,0.36,0.44,0.45,0.3,0.39,0.38,0.41,0.33,0.4,0.42,0.44,0.48
zealos.csv,0.86,0.73,0.57,0.77,0.58,0.58,0.68,0.69,0.52,0.76,0.82,0.91,0.83,0.62,0.79,0.88,0.75,0.66,0.65,0.43
