,brlcad.csv,konversation.csv,firebreath.csv,fltk.csv,co-ode-owl-plugins.csv,openxava.csv,gretl.csv,bibedt.csv,sumatrapdf.csv,micomt.csv,glas.csv,wxcode.csv,tweetsharp.csv,arm-webradio.csv
arm-webradio.csv,0.34,0.17,0.3,0.47,0.59,0.25,0.49,0.18,0.24,0.32,0.57,0.06,0.65,0.79
bibedt.csv,0.41,0.38,0.18,0.63,0.35,0.15,0.68,0.52,0.46,0.57,0.09,0.13,0.51,0.34
brlcad.csv,0.52,0.2,0.49,0.1,0.28,0.3,0.55,0.56,0.26,0.5,0.35,0.09,0.65,0.32
co-ode-owl-plugins.csv,0.25,0.33,0.53,0.74,0.65,0.2,0.49,0.35,0.46,0.39,0.6,0.21,0.64,0.81
firebreath.csv,0.48,0.26,0.64,0.62,0.19,0.09,0.75,0.38,0.53,0.42,0.22,0.18,0.58,0.35
fltk.csv,0.2,0.48,0.5,0.71,0.41,0.19,0.45,0.0,0.65,0.55,0.45,0.23,0.71,0.39
glas.csv,0.32,0.36,0.48,0.59,0.36,0.28,0.78,0.32,0.52,0.26,0.62,0.16,0.59,0.49
gretl.csv,0.24,0.34,0.46,0.69,0.44,0.28,0.8,0.44,0.55,0.32,0.57,0.15,0.64,0.57
konversation.csv,0.23,0.45,0.59,0.55,0.21,0.23,0.52,0.4,0.49,0.46,0.05,0.14,0.54,0.14
micomt.csv,0.46,0.28,0.58,0.74,0.27,0.11,0.72,0.36,0.68,0.65,0.51,0.18,0.79,0.36
openxava.csv,0.37,0.38,0.4,0.48,0.14,0.37,0.69,0.34,0.34,0.12,0.18,0.29,0.33,0.5
sumatrapdf.csv,0.37,0.25,0.55,0.72,0.29,0.2,0.65,0.36,0.73,0.35,0.57,0.22,0.85,0.38
tweetsharp.csv,0.41,0.36,0.52,0.48,0.3,0.1,0.24,0.5,0.49,0.34,0.51,0.05,0.81,0.67
wxcode.csv,0.15,0.42,0.34,0.57,0.1,0.22,0.51,0.32,0.53,0.4,0.05,0.5,0.26,0.02
