,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,trinitycore.csv,rockbox.csv
atlc.csv,0.66,0.85,0.44,0.62,0.47,0.42,0.61,0.42,0.52,0.52,0.52,0.45
miranda-icq.csv,0.53,0.51,0.43,0.38,0.94,0.45,0.47,0.96,0.61,0.43,0.48,0.57
pclasses.csv,0.68,0.47,0.0,0.9,0.8,0.5,0.89,0.67,0.67,0.6,0.66,0.46
pfaedit.csv,0.82,0.45,0.9,0.48,0.38,0.67,0.37,0.94,0.8,0.43,0.42,0.6
rockbox.csv,0.67,0.32,0.0,0.41,0.3,0.69,0.36,0.96,0.93,0.47,0.43,0.36
theresa.csv,0.53,0.39,0.82,0.47,0.35,0.0,0.54,0.36,0.5,0.39,0.55,0.62
thrust.csv,0.83,0.95,0.55,0.0,0.48,0.94,0.94,0.52,0.58,0.95,0.8,0.75
tktoolkit.csv,0.67,0.44,0.67,0.88,0.36,0.62,0.54,0.74,0.51,0.52,0.65,0.41
trinitycore.csv,0.58,0.63,0.88,0.48,0.5,0.52,0.36,0.72,0.82,0.52,0.6,0.67
tzod.csv,0.93,0.47,0.56,0.54,0.37,0.59,0.55,0.42,0.58,0.69,0.54,0.88
yaprm.csv,0.54,0.65,0.0,0.67,0.67,0.52,0.45,0.56,0.83,0.38,0.57,0.64
