,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.59,0.41,0.46,0.56,0.58,0.52,0.62,0.6,0.3,0.35,0.52,0.53,0.98,0.34,0.51
amateur-scrolls.csv,0.24,0.02,0.1,0.27,0.33,0.19,0.15,0.23,0.32,0.1,0.34,0.55,0.2,1.0,0.07
arianne.csv,0.45,0.37,0.49,0.41,0.36,0.98,0.36,0.43,0.55,0.4,0.57,0.52,0.38,0.7,0.48
bl-toolkit.csv,0.65,0.48,0.51,0.61,0.63,0.52,0.66,0.78,0.99,0.54,0.21,0.77,0.27,0.73,0.51
doomlegacy.csv,0.25,0.67,0.64,0.5,0.62,0.55,0.53,0.76,0.61,0.64,0.63,0.65,0.63,0.61,0.99
enlightenment.csv,0.65,0.56,0.69,0.5,0.61,0.54,0.66,0.67,0.62,0.37,0.97,0.69,0.51,0.54,0.34
fritzing.csv,0.39,0.54,0.63,0.47,0.99,0.41,0.53,0.83,0.73,0.41,0.52,0.52,0.57,0.67,0.43
gnukeda.csv,0.58,0.61,0.75,0.54,0.58,0.53,0.63,0.68,0.57,0.98,0.6,0.64,0.64,0.72,0.56
jlinalg.csv,0.98,0.59,0.53,0.56,0.64,0.62,0.61,0.53,0.67,0.7,0.61,0.6,0.57,0.46,0.53
knowledge.csv,0.0,0.53,0.05,0.52,0.38,0.45,0.24,0.98,0.5,0.58,0.5,0.49,0.43,0.56,0.3
massiv.csv,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
playerstage.csv,0.39,0.26,0.62,0.43,0.51,0.3,0.96,0.42,0.15,0.21,0.44,0.29,0.4,0.0,0.34
psycle.csv,0.0,0.97,0.71,0.62,0.6,0.63,0.5,0.74,0.72,0.64,0.56,0.45,0.61,0.63,0.61
superwaba.csv,0.56,0.38,0.95,0.63,0.63,0.52,0.64,0.58,0.68,0.5,0.57,0.8,0.58,0.62,0.55
wxcrp.csv,0.0,0.4,0.13,0.95,0.5,0.48,0.51,0.49,0.24,0.36,0.39,0.75,0.46,0.18,0.45
