,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.56,0.37,0.42,0.55,0.56,0.5,0.64,0.6,0.26,0.31,0.49,0.5,0.98,0.3,0.48
amateur-scrolls.csv,0.2,0.02,0.08,0.23,0.29,0.16,0.12,0.19,0.28,0.08,0.29,0.5,0.17,1.0,0.06
arianne.csv,0.4,0.33,0.46,0.39,0.32,0.98,0.33,0.39,0.54,0.36,0.57,0.5,0.35,0.8,0.44
bl-toolkit.csv,0.6,0.45,0.48,0.61,0.65,0.49,0.67,0.84,1.0,0.51,0.93,1.0,0.94,0.9,0.48
doomlegacy.csv,0.7,0.73,0.86,0.84,0.82,0.61,0.91,0.81,0.6,0.62,0.72,0.75,0.77,0.6,0.99
enlightenment.csv,0.7,0.54,0.7,0.48,0.61,0.51,0.74,0.69,0.66,0.33,0.97,0.75,0.52,0.5,0.3
fritzing.csv,0.72,0.52,0.62,0.45,0.99,0.37,0.52,0.84,0.86,0.36,0.49,0.5,0.58,0.65,0.38
gnukeda.csv,0.78,0.59,0.88,0.61,0.83,0.56,0.86,0.71,0.54,0.97,0.68,0.75,0.77,0.75,0.86
jlinalg.csv,0.98,0.61,0.5,0.77,0.83,0.74,0.84,0.9,0.86,0.72,0.75,0.75,0.61,0.95,0.8
knowledge.csv,0.94,0.9,0.94,0.84,0.82,0.91,0.95,0.98,0.9,0.87,0.83,1.0,0.91,1.0,0.96
massiv.csv,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
playerstage.csv,0.34,0.22,0.6,0.39,0.47,0.26,0.95,0.37,0.12,0.18,0.39,0.25,0.36,0.0,0.3
psycle.csv,0.78,0.97,0.74,0.74,0.83,0.69,0.86,0.79,0.88,0.64,0.78,0.5,0.79,0.7,0.75
superwaba.csv,0.52,0.33,0.94,0.77,0.62,0.5,0.64,0.58,0.72,0.46,0.58,1.0,0.58,0.95,0.54
wxcrp.csv,0.86,0.35,0.94,0.94,0.88,0.48,0.48,0.45,0.2,0.31,0.34,0.75,0.42,0.15,0.41
