,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.21,0.25,0.23,0.4,0.34,0.39,0.45,0.4,0.23,0.16,0.33,0.32,0.0,0.17,0.35
amateur-scrolls.csv,0.07,0.01,0.01,0.11,0.17,0.01,0.05,0.0,0.09,0.03,0.11,0.14,0.11,0.02,0.0
arianne.csv,0.14,0.2,0.36,0.51,0.29,0.0,0.43,0.2,0.41,0.28,0.42,0.38,0.37,0.54,0.19
bl-toolkit.csv,0.07,0.33,0.29,0.41,0.43,0.3,0.39,0.4,0.05,0.28,0.95,0.6,0.93,0.59,0.35
doomlegacy.csv,0.93,0.5,0.68,0.81,0.69,0.6,0.8,0.4,0.32,0.28,0.59,0.58,0.64,0.33,0.0
enlightenment.csv,0.5,0.35,0.36,0.4,0.38,0.31,0.53,0.4,0.5,0.22,0.02,0.49,0.51,0.22,0.23
fritzing.csv,0.86,0.33,0.3,0.4,0.01,0.23,0.41,0.2,0.55,0.16,0.29,0.4,0.48,0.24,0.19
gnukeda.csv,0.71,0.32,0.52,0.64,0.74,0.56,0.7,0.4,0.27,0.0,0.59,0.59,0.62,0.39,0.77
jlinalg.csv,0.0,0.47,0.32,0.73,0.66,0.62,0.71,0.8,0.64,0.38,0.65,0.66,0.55,0.85,0.77
knowledge.csv,1.0,0.8,0.99,0.79,0.88,0.85,0.94,0.0,0.82,0.75,0.81,0.84,0.86,0.8,0.92
massiv.csv,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playerstage.csv,0.07,0.07,0.28,0.24,0.22,0.16,0.01,0.0,0.09,0.06,0.15,0.16,0.29,0.04,0.15
psycle.csv,1.0,0.02,0.4,0.63,0.71,0.52,0.81,0.4,0.59,0.38,0.74,0.67,0.68,0.54,0.65
superwaba.csv,0.21,0.16,0.0,0.63,0.31,0.39,0.36,0.4,0.45,0.25,0.47,0.56,0.41,0.74,0.38
wxcrp.csv,1.0,0.17,0.97,0.0,0.82,0.51,0.29,0.2,0.14,0.03,0.12,0.27,0.22,0.09,0.27
