,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.69,0.5,0.46,0.44,0.58,0.53,0.56,0.73,0.38,0.43,0.56,0.02,0.99,0.35,0.6
amateur-scrolls.csv,0.33,0.03,0.15,0.3,0.4,0.27,0.2,0.32,0.42,0.14,0.42,0.05,0.28,0.98,0.12
arianne.csv,0.56,0.46,0.43,0.3,0.39,0.99,0.34,0.55,0.63,0.45,0.61,0.02,0.45,0.52,0.58
bl-toolkit.csv,0.74,0.56,0.48,0.47,0.62,0.55,0.6,0.9,0.99,0.59,0.71,0.02,0.75,0.55,0.6
doomlegacy.csv,0.71,0.73,0.55,0.44,0.64,0.55,0.6,0.88,0.69,0.67,0.67,0.02,0.71,0.51,0.99
enlightenment.csv,0.76,0.62,0.59,0.39,0.61,0.56,0.59,0.8,0.7,0.44,0.98,0.02,0.57,0.5,0.44
fritzing.csv,0.73,0.62,0.57,0.37,0.99,0.47,0.49,0.9,0.82,0.48,0.58,0.02,0.62,0.59,0.52
gnukeda.csv,0.79,0.68,0.62,0.39,0.63,0.53,0.6,0.81,0.65,0.99,0.65,0.02,0.72,0.57,0.82
jlinalg.csv,0.99,0.66,0.48,0.44,0.66,0.62,0.59,0.92,0.8,0.71,0.68,0.02,0.63,0.49,0.78
knowledge.csv,0.85,0.78,0.5,0.45,0.59,0.66,0.58,0.99,0.8,0.7,0.69,0.02,0.75,0.52,0.85
massiv.csv,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
playerstage.csv,0.5,0.35,0.57,0.39,0.55,0.37,0.96,0.54,0.21,0.29,0.52,0.02,0.47,0.0,0.44
psycle.csv,0.76,0.98,0.6,0.46,0.64,0.62,0.57,0.87,0.82,0.66,0.68,0.01,0.72,0.47,0.76
superwaba.csv,0.66,0.46,0.97,0.47,0.64,0.53,0.59,0.72,0.75,0.55,0.61,0.02,0.64,0.52,0.65
wxcrp.csv,0.8,0.49,0.51,0.97,0.64,0.48,0.51,0.62,0.32,0.46,0.48,0.04,0.55,0.22,0.55
