,bscwweasel.csv,japano.csv,log4net.csv,botsnscouts.csv,unbvision.csv,personalaccess.csv,joustsim.csv,fido.csv,rcp-company-uibindings.csv,cme.csv
botsnscouts.csv,0.24,0.72,0.04,0.73,0.43,0.87,0.38,0.09,0.61,0.27
bscwweasel.csv,0.48,0.08,0.07,0.26,0.27,0.49,0.11,0.33,0.83,0.0
cme.csv,0.08,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.05,0.91
fido.csv,0.13,0.26,0.0,0.0,0.0,0.44,0.24,0.4,0.0,0.0
japano.csv,0.13,0.85,0.04,0.55,0.33,0.68,0.26,0.07,0.85,0.0
joustsim.csv,0.24,0.77,0.04,0.51,0.33,0.7,0.77,0.12,0.44,0.2
log4net.csv,0.25,0.36,0.29,0.39,0.05,0.46,0.44,0.0,0.62,0.1
personalaccess.csv,0.19,0.75,0.1,0.7,0.4,0.87,0.46,0.05,0.56,0.26
rcp-company-uibindings.csv,0.31,0.37,0.07,0.54,0.4,0.59,0.32,0.14,0.93,0.31
unbvision.csv,0.29,0.53,0.05,0.59,0.61,0.59,0.38,0.0,0.78,0.17
