,recall
rectracker.csv,0.45
dynalloy.csv,0.12
mpqc.csv,0.25
thout.csv,0.32
benojt.csv,0.15
sabbu.csv,0.28
unladen-swallow.csv,0.7
powerfolder-.csv,0.55
barracudamvc.csv,0.33
nutz.csv,0.14
apolloplayer.csv,0.46
vxl.csv,0.14
fbmanager.csv,0.21
olsrd.csv,0.38
jajuk.csv,0.39
sqlpower-library.csv,0.43
heekscad.csv,0.26
zorannt.csv,0.39
emftriple.csv,0.0
gamestone.csv,0.38
jicarilla.csv,0.0
sevenupdate.csv,0.22
nuttx.csv,0.25
psrchive.csv,0.36
jvcl.csv,0.44
kdenlive.csv,0.34
hatari.csv,0.38
maidsafe-dht.csv,0.21
opde.csv,0.16
brlcad.csv,0.47
opentibia.csv,0.25
plee-the-bear.csv,0.76
xcsoar.csv,0.39
vapor.csv,0.4
reaper-ecad.csv,0.79
jmri.csv,0.23
igarden.csv,0.26
mb-unit.csv,0.18
kaffeine.csv,0.18
ossim.csv,0.25
jlinalg.csv,0.2
megasquirtavr.csv,0.35
psycle.csv,0.23
beast-mcmc.csv,0.3
ikvm.csv,0.45
bscwweasel.csv,0.45
zact.csv,0.0
zscreen.csv,0.04
sarasvati.csv,0.18
flylegacy.csv,0.29
nullc.csv,0.18
dvt.csv,0.26
retromenu.csv,0.67
jatlas.csv,0.2
liferea.csv,0.77
array4j.csv,0.12
go.csv,0.38
zealos.csv,0.6
ns-3.csv,0.14
nug.csv,0.29
critterding.csv,0.18
gotjava.csv,0.0
optalgtoolkit.csv,0.26
kwave.csv,0.0
superwaba.csv,0.8
ltp.csv,0.72
pdfedit.csv,0.35
blogentis.csv,0.62
mclient-mume.csv,0.13
firebird.csv,0.28
