,precision
rectracker.csv,0.78
dynalloy.csv,0.86
mpqc.csv,0.14
thout.csv,0.5
benojt.csv,1.0
sabbu.csv,0.73
unladen-swallow.csv,0.21
powerfolder-.csv,0.5
barracudamvc.csv,0.81
nutz.csv,0.56
apolloplayer.csv,0.42
vxl.csv,0.25
fbmanager.csv,0.88
olsrd.csv,0.93
jajuk.csv,0.84
sqlpower-library.csv,0.95
heekscad.csv,0.95
zorannt.csv,0.35
emftriple.csv,0.0
gamestone.csv,0.2
jicarilla.csv,0.0
sevenupdate.csv,1.0
nuttx.csv,0.77
psrchive.csv,0.42
jvcl.csv,0.16
kdenlive.csv,0.89
hatari.csv,0.69
maidsafe-dht.csv,0.25
opde.csv,0.33
brlcad.csv,0.25
opentibia.csv,0.95
plee-the-bear.csv,0.14
xcsoar.csv,0.81
vapor.csv,0.48
reaper-ecad.csv,0.27
jmri.csv,0.58
igarden.csv,0.53
mb-unit.csv,0.91
kaffeine.csv,1.0
ossim.csv,0.12
jlinalg.csv,0.91
megasquirtavr.csv,0.26
psycle.csv,0.93
beast-mcmc.csv,0.59
ikvm.csv,0.62
bscwweasel.csv,0.21
zact.csv,0.0
zscreen.csv,1.0
sarasvati.csv,0.29
flylegacy.csv,0.95
nullc.csv,0.9
dvt.csv,0.29
retromenu.csv,0.52
jatlas.csv,0.25
liferea.csv,0.3
array4j.csv,0.33
go.csv,0.83
zealos.csv,0.44
ns-3.csv,0.68
nug.csv,0.5
critterding.csv,1.0
gotjava.csv,0.0
optalgtoolkit.csv,0.33
kwave.csv,0.0
superwaba.csv,0.52
ltp.csv,0.74
pdfedit.csv,0.68
blogentis.csv,0.31
mclient-mume.csv,0.8
firebird.csv,0.74
