,d2h
rectracker.csv,0.61
dynalloy.csv,0.88
mpqc.csv,0.8
thout.csv,0.69
benojt.csv,0.85
sabbu.csv,0.73
unladen-swallow.csv,0.45
powerfolder-.csv,0.51
barracudamvc.csv,0.78
nutz.csv,0.86
apolloplayer.csv,0.57
vxl.csv,0.87
fbmanager.csv,0.79
olsrd.csv,0.63
jajuk.csv,0.61
sqlpower-library.csv,0.57
heekscad.csv,0.74
zorannt.csv,0.62
emftriple.csv,1.0
gamestone.csv,0.67
jicarilla.csv,1.0
sevenupdate.csv,0.78
nuttx.csv,0.83
psrchive.csv,0.65
jvcl.csv,0.62
kdenlive.csv,0.67
hatari.csv,0.64
maidsafe-dht.csv,0.8
opde.csv,0.86
brlcad.csv,0.7
opentibia.csv,0.75
plee-the-bear.csv,0.39
xcsoar.csv,0.61
vapor.csv,0.62
reaper-ecad.csv,0.37
jmri.csv,0.79
igarden.csv,0.75
mb-unit.csv,0.82
kaffeine.csv,0.82
ossim.csv,0.76
jlinalg.csv,0.8
megasquirtavr.csv,0.71
psycle.csv,0.77
beast-mcmc.csv,0.7
ikvm.csv,0.58
bscwweasel.csv,0.6
zact.csv,1.01
zscreen.csv,0.96
sarasvati.csv,0.82
flylegacy.csv,0.72
nullc.csv,0.83
dvt.csv,0.79
retromenu.csv,0.44
jatlas.csv,0.8
liferea.csv,0.57
array4j.csv,0.88
go.csv,0.63
zealos.csv,0.52
ns-3.csv,0.87
nug.csv,0.72
critterding.csv,0.82
gotjava.csv,1.02
optalgtoolkit.csv,0.8
kwave.csv,1.0
superwaba.csv,0.45
ltp.csv,0.63
pdfedit.csv,0.67
blogentis.csv,0.61
mclient-mume.csv,0.87
firebird.csv,0.73
