,pf
rectracker.csv,0.26
dynalloy.csv,0.01
mpqc.csv,0.29
thout.csv,0.1
benojt.csv,0.0
sabbu.csv,0.11
unladen-swallow.csv,0.34
powerfolder-.csv,0.23
barracudamvc.csv,0.4
nutz.csv,0.04
apolloplayer.csv,0.19
vxl.csv,0.13
fbmanager.csv,0.03
olsrd.csv,0.1
jajuk.csv,0.07
sqlpower-library.csv,0.06
heekscad.csv,0.02
zorannt.csv,0.12
emftriple.csv,0.03
gamestone.csv,0.23
jicarilla.csv,0.08
sevenupdate.csv,0.0
nuttx.csv,0.36
psrchive.csv,0.09
jvcl.csv,0.27
kdenlive.csv,0.08
hatari.csv,0.14
maidsafe-dht.csv,0.15
opde.csv,0.18
brlcad.csv,0.46
opentibia.csv,0.08
plee-the-bear.csv,0.31
xcsoar.csv,0.07
vapor.csv,0.15
reaper-ecad.csv,0.31
jmri.csv,0.15
igarden.csv,0.1
mb-unit.csv,0.1
kaffeine.csv,0.0
ossim.csv,0.11
jlinalg.csv,0.07
megasquirtavr.csv,0.27
psycle.csv,0.03
beast-mcmc.csv,0.08
ikvm.csv,0.2
bscwweasel.csv,0.23
zact.csv,0.13
zscreen.csv,0.0
sarasvati.csv,0.03
flylegacy.csv,0.05
nullc.csv,0.09
dvt.csv,0.27
retromenu.csv,0.29
jatlas.csv,0.05
liferea.csv,0.52
array4j.csv,0.06
go.csv,0.13
zealos.csv,0.34
ns-3.csv,0.13
nug.csv,0.14
critterding.csv,0.0
gotjava.csv,0.22
optalgtoolkit.csv,0.32
kwave.csv,0.04
superwaba.csv,0.4
ltp.csv,0.56
pdfedit.csv,0.16
blogentis.csv,0.48
mclient-mume.csv,0.04
firebird.csv,0.11
