,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.52,0.92,0.42,0.53,0.4,0.5,0.55,0.44,0.4,0.52,0.43
gamestone.csv,0.93,0.57,0.94,0.57,0.62,0.0,0.86,0.58,0.78,0.78,0.83
gbif-providertoolkit.csv,0.65,0.57,0.77,0.55,0.64,0.45,0.48,0.57,0.48,0.59,0.57
heekscad.csv,0.34,0.47,0.39,0.4,0.38,0.35,0.37,0.44,0.42,0.4,0.33
igarden.csv,0.42,0.67,0.64,0.46,0.64,0.58,0.67,0.78,0.49,0.87,0.52
levent.csv,0.79,0.0,0.0,0.0,0.36,0.42,0.68,0.0,0.0,0.0,0.45
lportal.csv,0.79,0.5,0.76,0.0,0.0,0.88,0.0,0.73,0.73,0.5,0.93
natpad.csv,0.44,0.49,0.37,0.33,0.35,0.5,0.39,0.43,0.38,0.45,0.36
openmsx.csv,0.48,0.44,0.74,0.33,0.92,0.95,0.96,0.88,0.0,0.62,0.8
owlapi.csv,0.65,0.93,0.67,0.95,0.41,0.41,0.41,0.62,0.6,0.49,0.65
xcsoar.csv,0.35,0.83,0.38,0.38,0.39,0.48,0.49,0.54,0.49,0.41,0.33
