,campsoft.csv,beast-mcmc.csv,array4j.csv,continuum-ide.csv,jam-daq.csv,anaxagora.csv,nodal.csv,projectfactory.csv,roolo.csv,l2j.csv
anaxagora.csv,0.0,0.18,0.52,0.21,0.31,0.96,0.11,0.48,0.57,0.15
array4j.csv,0.0,0.17,1.0,0.0,0.05,0.12,0.05,0.04,0.0,0.06
beast-mcmc.csv,0.9,0.95,0.13,0.67,0.37,0.42,0.26,0.32,0.47,0.12
continuum-ide.csv,0.0,0.31,0.14,1.0,0.24,0.28,0.16,0.18,0.24,0.11
jam-daq.csv,0.0,0.48,0.55,0.28,0.96,0.52,0.52,0.35,0.44,0.15
l2j.csv,0.77,0.61,0.57,0.52,0.65,0.67,0.55,0.37,0.23,0.98
nodal.csv,0.0,0.3,0.53,0.27,0.44,0.37,0.89,0.12,0.28,0.1
projectfactory.csv,0.93,0.28,0.35,0.07,0.25,0.37,0.38,0.96,0.29,0.17
roolo.csv,0.89,0.33,0.43,0.33,0.45,0.28,0.26,0.27,0.88,0.25
