,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,5.0,70.0,1.0,19.0,0.0,0.0,39.0,3.0,10.0,11.0,2.0,103.0,1.0
emulemorph.csv,108.0,355.0,158.0,169.0,92.0,60.0,61.0,86.0,0.0,58.0,161.0,103.0,0.0
gisgraphy.csv,108.0,0.0,11.0,15.0,10.0,0.0,61.0,17.0,109.0,8.0,0.0,103.0,0.0
jaxen.csv,108.0,355.0,0.0,2.0,2.0,60.0,61.0,0.0,109.0,0.0,161.0,103.0,0.0
jvcl.csv,108.0,355.0,0.0,22.0,15.0,0.0,58.0,55.0,109.0,12.0,161.0,103.0,1.0
m-m-m.csv,5.0,0.0,7.0,9.0,10.0,0.0,46.0,68.0,1.0,7.0,0.0,66.0,1.0
motu.csv,108.0,355.0,1.0,169.0,2.0,0.0,5.0,11.0,109.0,0.0,161.0,6.0,4.0
nh3d.csv,108.0,0.0,158.0,169.0,92.0,60.0,61.0,86.0,109.0,58.0,0.0,103.0,69.0
sarasvati.csv,2.0,355.0,158.0,0.0,92.0,60.0,11.0,86.0,109.0,5.0,0.0,0.0,69.0
wgs-assembler.csv,0.0,0.0,12.0,27.0,13.0,0.0,38.0,3.0,3.0,7.0,0.0,103.0,0.0
zabbix.csv,5.0,0.0,7.0,18.0,13.0,0.0,43.0,42.0,3.0,15.0,0.0,103.0,0.0
