,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.11,0.32,0.0,0.28,0.05
nabu-library.csv,0.69,0.63,0.73,0.59,0.0
pcgen.csv,0.07,0.0,0.3,0.48,0.08
selenium.csv,0.02,0.27,0.62,0.33,0.22
tolven.csv,0.02,0.22,0.01,0.0,0.01
