,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.65,0.54,0.72,0.78,0.12,0.75,0.77,0.72,0.04,0.22,0.21,0.74,0.17,0.98,0.98,0.28
fbmanager.csv,0.0,1.0,0.76,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.86,0.0,1.0,1.0,0.0
fityk.csv,0.55,0.7,0.67,0.8,0.15,0.81,0.65,0.8,0.04,0.22,0.41,0.72,0.18,1.0,0.98,0.32
fleet-simulator.csv,0.5,0.61,0.55,0.75,0.18,0.75,0.66,0.57,0.04,0.38,0.27,0.69,0.17,1.0,0.98,0.37
google-caja.csv,0.69,0.56,0.77,0.86,0.15,0.82,0.69,0.74,0.05,0.36,0.3,0.67,0.17,1.0,0.98,0.34
itext.csv,0.76,0.66,0.6,0.77,0.15,0.84,0.67,0.8,0.04,0.38,0.38,0.68,0.16,0.97,1.0,0.37
k3b.csv,0.55,0.62,0.52,0.73,0.14,0.76,0.65,0.6,0.05,0.24,0.23,0.66,0.15,0.85,0.98,0.3
megameknet.csv,0.7,1.0,0.79,1.0,0.29,0.81,0.4,0.75,0.05,0.66,0.66,0.75,0.25,1.0,1.0,0.45
myfaces.csv,1.0,0.83,0.8,0.94,0.69,0.93,0.75,0.67,0.08,0.8,0.73,0.88,0.4,1.0,1.0,0.59
ondex.csv,0.33,0.8,0.0,1.0,0.17,0.0,1.0,0.5,0.07,0.33,0.5,0.8,0.64,1.0,1.0,0.34
paintown.csv,0.8,0.62,0.57,0.71,0.12,0.78,0.75,0.52,0.05,0.21,0.22,0.72,0.16,0.83,0.96,0.3
powerfolder.csv,0.89,1.0,0.75,0.0,0.33,0.89,0.0,0.0,0.0,0.0,0.44,0.8,0.0,1.0,1.0,0.43
smartgwt.csv,0.54,0.68,0.6,0.74,0.25,0.69,0.59,0.39,0.05,0.89,0.21,0.76,0.17,0.64,0.98,0.27
triplea.csv,0.65,0.83,0.73,0.81,0.15,0.78,0.69,0.69,0.08,0.38,0.39,0.79,0.19,1.0,1.0,0.42
xamj.csv,0.76,0.67,0.77,0.79,0.29,0.85,0.67,0.83,0.09,0.44,0.33,0.86,0.27,1.0,1.0,0.66
