,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.21,0.26,0.2,0.3,0.4,0.28,0.24,0.19,0.33,0.55,0.44,0.26,0.28,0.24,0.29,0.45
fbmanager.csv,0.43,0.28,0.23,0.33,0.42,0.16,0.27,0.42,0.32,0.55,0.46,0.24,0.31,0.27,0.22,0.46
fityk.csv,0.28,0.25,0.23,0.28,0.38,0.2,0.24,0.14,0.3,0.55,0.22,0.27,0.25,0.21,0.31,0.43
fleet-simulator.csv,0.34,0.26,0.26,0.3,0.28,0.33,0.25,0.38,0.27,0.13,0.33,0.3,0.31,0.26,0.29,0.32
google-caja.csv,0.18,0.23,0.18,0.26,0.34,0.21,0.25,0.16,0.28,0.25,0.26,0.27,0.28,0.19,0.29,0.36
itext.csv,0.15,0.23,0.29,0.28,0.3,0.23,0.2,0.17,0.25,0.24,0.2,0.23,0.22,0.21,0.22,0.3
k3b.csv,0.31,0.26,0.43,0.32,0.42,0.33,0.29,0.33,0.33,0.55,0.46,0.32,0.29,0.32,0.31,0.46
megameknet.csv,0.14,0.13,0.11,0.24,0.15,0.15,0.24,0.34,0.24,0.11,0.12,0.15,0.28,0.18,0.19,0.17
myfaces.csv,0.4,0.21,0.11,0.13,0.34,0.12,0.24,0.36,0.25,0.54,0.1,0.18,0.3,0.32,0.15,0.13
ondex.csv,0.43,0.25,0.43,0.3,0.34,0.38,0.27,0.41,0.32,0.55,0.44,0.32,0.3,0.19,0.19,0.24
paintown.csv,0.18,0.28,0.35,0.33,0.42,0.22,0.25,0.31,0.32,0.55,0.46,0.23,0.31,0.34,0.24,0.46
powerfolder.csv,0.11,0.25,0.11,0.33,0.4,0.12,0.29,0.42,0.34,0.55,0.42,0.14,0.31,0.24,0.29,0.46
smartgwt.csv,0.33,0.28,0.32,0.33,0.21,0.29,0.27,0.41,0.33,0.11,0.45,0.23,0.24,0.32,0.31,0.46
triplea.csv,0.21,0.23,0.17,0.26,0.35,0.29,0.2,0.22,0.23,0.14,0.16,0.24,0.24,0.23,0.24,0.25
xamj.csv,0.13,0.15,0.15,0.24,0.16,0.16,0.2,0.14,0.16,0.54,0.23,0.15,0.26,0.24,0.17,0.13
