,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.25,0.21,0.27,0.0,0.04,0.03,0.07,0.16,0.26,0.07
flexpay.csv,0.46,0.54,0.0,0.37,0.75,0.65,0.77,0.6,0.24,0.67
jstock.csv,0.17,0.42,0.19,0.14,0.04,0.05,0.18,0.0,0.1,0.4
keyczar.csv,0.56,0.75,0.53,0.58,0.76,0.31,0.27,0.3,0.39,0.13
modellus.csv,0.34,0.04,0.33,0.09,0.49,0.01,0.14,0.12,0.24,0.13
open-data-kit.csv,0.52,0.25,0.6,0.28,0.38,0.53,0.02,0.21,0.3,0.13
phet.csv,0.0,1.0,0.31,0.81,0.89,0.65,0.86,0.86,0.68,0.93
qtractor.csv,0.37,0.04,0.3,0.05,0.18,0.21,0.14,0.14,0.09,0.07
sumatrapdf.csv,0.53,0.46,0.47,0.6,0.0,0.2,0.39,0.26,0.4,0.33
synergyspace.csv,0.16,0.08,0.15,0.07,0.09,0.06,0.11,0.07,0.01,0.0
