,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.98,0.57,0.76,0.62,0.82,0.96,0.73,0.89,0.8,0.86
flexpay.csv,0.6,0.71,0.99,0.86,0.51,0.55,0.55,0.43,0.96,0.6
jstock.csv,0.98,0.74,0.93,0.92,0.89,0.94,0.96,0.77,0.94,0.92
keyczar.csv,0.37,0.38,0.43,0.43,0.38,0.4,0.45,0.5,0.49,0.44
modellus.csv,0.63,0.7,0.59,0.88,0.47,0.48,0.71,0.9,0.75,0.88
open-data-kit.csv,0.52,0.48,0.47,0.59,0.58,0.43,0.45,0.85,0.55,0.58
phet.csv,0.98,0.48,0.94,0.44,0.44,0.68,0.51,0.36,0.62,0.44
qtractor.csv,0.61,0.48,0.62,0.86,0.67,0.48,0.65,0.67,0.93,0.83
sumatrapdf.csv,0.48,0.53,0.53,0.46,0.66,0.55,0.59,0.61,0.59,0.69
synergyspace.csv,0.98,0.5,0.99,0.67,0.91,0.96,0.92,0.75,0.93,0.75
