,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.89,0.71,0.74,0.0,0.52,0.75,0.61,0.86,0.5,0.88
flexpay.csv,0.74,0.71,0.08,0.81,0.97,0.8,0.9,0.68,0.92,0.76
jstock.csv,0.93,0.68,0.83,0.73,0.78,0.85,0.8,0.0,0.7,0.96
keyczar.csv,0.87,0.75,0.69,0.78,0.86,0.56,0.58,0.55,0.86,0.13
modellus.csv,0.89,0.68,0.64,0.81,0.61,0.03,0.72,0.63,0.73,0.89
open-data-kit.csv,0.84,0.53,0.69,0.59,0.64,0.58,0.03,0.72,0.75,0.66
phet.csv,0.04,1.06,0.78,0.84,1.08,0.96,0.94,0.89,0.78,0.93
qtractor.csv,0.8,0.04,0.64,0.76,0.67,0.5,0.65,0.56,0.77,0.9
sumatrapdf.csv,0.87,0.56,0.67,0.67,0.06,0.52,0.62,0.53,0.55,0.84
synergyspace.csv,0.83,1.0,0.89,1.0,0.81,0.75,0.91,0.93,0.01,0.92
