,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.15,0.43,0.24,1.0,0.62,0.4,0.55,0.18,0.45,0.22
flexpay.csv,0.29,0.54,0.95,0.28,0.29,0.49,0.54,0.37,0.11,0.68
jstock.csv,0.11,0.51,0.18,0.36,0.35,0.25,0.34,1.0,0.36,0.2
keyczar.csv,0.21,0.74,0.27,0.36,0.41,0.58,0.59,0.42,0.17,0.98
modellus.csv,0.15,0.47,0.3,0.28,0.51,0.98,0.42,0.43,0.28,0.21
open-data-kit.csv,0.23,0.61,0.3,0.47,0.45,0.67,0.99,0.31,0.25,0.51
phet.csv,0.98,0.51,0.2,0.47,0.26,0.3,0.59,0.33,0.29,0.86
qtractor.csv,0.23,0.98,0.3,0.36,0.42,0.62,0.51,0.48,0.29,0.19
sumatrapdf.csv,0.2,0.66,0.27,0.48,0.97,0.61,0.59,0.45,0.39,0.34
synergyspace.csv,0.22,0.0,0.13,0.0,0.29,0.39,0.16,0.12,0.98,0.15
