,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,2.0,3.0,5.0,0.0,0.0,2.0,2.0,6.0,0.0,1.0
flexpay.csv,5.0,3.0,0.0,0.0,0.0,2.0,3.0,3.0,14.0,3.0
jstock.csv,12.0,3.0,2.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0
keyczar.csv,1.0,0.0,38.0,4.0,1.0,4.0,1.0,0.0,4.0,0.0
modellus.csv,6.0,0.0,39.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
open-data-kit.csv,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0
phet.csv,0.0,3.0,2.0,0.0,3.0,2.0,4.0,5.0,1.0,3.0
qtractor.csv,3.0,0.0,26.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0
sumatrapdf.csv,13.0,2.0,1.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0
synergyspace.csv,0.0,51.0,2.0,63.0,0.0,1.0,1.0,3.0,0.0,0.0
