,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.17,0.36,0.35,1.0,0.53,0.3,0.44,0.18,0.61,0.15
flexpay.csv,0.44,0.52,0.93,0.33,0.35,0.48,0.43,0.6,0.14,0.53
jstock.csv,0.11,0.48,0.22,0.33,0.27,0.18,0.26,1.0,0.36,0.14
keyczar.csv,0.35,0.61,0.53,0.47,0.47,0.56,0.52,0.57,0.26,0.97
modellus.csv,0.2,0.37,0.48,0.23,0.62,0.98,0.33,0.43,0.35,0.14
open-data-kit.csv,0.37,0.57,0.59,0.51,0.5,0.69,0.99,0.35,0.35,0.4
phet.csv,0.97,0.0,0.32,0.49,0.26,0.3,0.37,0.41,0.52,0.27
qtractor.csv,0.33,0.99,0.48,0.28,0.4,0.59,0.42,0.51,0.27,0.12
sumatrapdf.csv,0.32,0.65,0.52,0.61,0.95,0.56,0.53,0.57,0.62,0.26
synergyspace.csv,0.22,0.0,0.14,0.0,0.23,0.3,0.11,0.1,1.0,0.1
