,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.14,0.32,0.31,1.0,0.48,0.26,0.39,0.15,0.58,0.12
flexpay.csv,0.42,0.54,0.92,0.29,0.39,0.53,0.54,0.69,0.12,0.62
jstock.csv,0.09,0.46,0.19,0.29,0.23,0.15,0.22,1.0,0.31,0.12
keyczar.csv,0.33,0.96,0.55,0.48,0.61,0.53,0.49,0.54,0.23,1.0
modellus.csv,0.17,0.32,0.45,0.19,0.65,0.98,0.29,0.38,0.31,0.12
open-data-kit.csv,0.35,0.54,0.67,0.48,0.48,0.78,0.99,0.31,0.31,0.35
phet.csv,0.96,0.64,0.28,0.81,0.39,0.29,0.63,0.77,0.62,0.98
qtractor.csv,0.29,1.0,0.44,0.24,0.35,0.55,0.37,0.46,0.23,0.1
sumatrapdf.csv,0.3,0.68,0.52,0.71,0.94,0.52,0.51,0.54,0.62,0.23
synergyspace.csv,0.19,0.0,0.12,0.0,0.19,0.26,0.09,0.08,1.0,0.08
