,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.15,0.64,0.19,1.0,0.88,0.88,0.91,0.22,0.37,0.86
flexpay.csv,0.22,0.54,0.99,0.27,0.23,0.45,0.55,0.26,0.11,0.75
jstock.csv,0.14,0.57,0.18,0.5,0.78,0.76,0.68,1.0,0.44,0.5
keyczar.csv,0.16,0.6,0.18,0.29,0.31,0.63,0.76,0.35,0.13,0.96
modellus.csv,0.14,0.9,0.22,0.5,0.43,0.99,0.79,0.5,0.25,0.75
open-data-kit.csv,0.17,0.71,0.19,0.45,0.42,0.59,0.99,0.31,0.21,0.89
phet.csv,1.0,0.43,0.16,0.33,0.2,0.31,0.56,0.21,0.19,0.77
qtractor.csv,0.2,0.97,0.23,0.71,0.52,0.72,0.82,0.5,0.4,0.83
sumatrapdf.csv,0.15,0.63,0.19,0.37,1.0,0.73,0.7,0.39,0.29,0.69
synergyspace.csv,0.27,0.0,0.14,0.0,0.55,0.81,0.58,0.25,0.96,1.0
