,sabbu.csv,gamestone.csv,beast-mcmc.csv,bscwweasel.csv,pdfedit.csv,codeblocks.csv,badtrinitycore.csv,redshell.csv,zengine.csv,jbasic.csv,iaml.csv,silvertree.csv,t-2.csv,xreal.csv,zabbix.csv,modplug.csv,xinity.csv
badtrinitycore.csv,0.74,0.4,0.39,0.06,0.57,0.85,0.35,0.94,1.0,0.45,0.37,0.49,0.19,0.06,0.37,0.84,0.57
beast-mcmc.csv,0.84,0.16,0.53,0.16,0.51,0.78,0.22,0.95,1.0,0.61,0.48,0.44,0.13,0.04,0.4,0.7,0.62
bscwweasel.csv,1.0,0.11,0.44,0.27,0.41,1.0,0.13,0.96,1.0,0.6,0.61,0.5,0.14,0.0,0.85,0.67,0.6
codeblocks.csv,0.56,0.09,0.58,0.2,0.6,0.82,0.21,0.96,0.81,0.65,0.54,0.43,0.17,0.03,0.32,0.9,0.67
gamestone.csv,0.75,0.47,0.17,0.14,0.42,0.8,0.18,0.94,1.0,0.52,0.39,0.5,0.05,0.12,0.6,0.79,0.48
iaml.csv,0.86,0.3,0.35,0.0,0.33,0.81,0.11,0.97,0.55,0.59,0.73,0.78,0.2,0.04,0.5,0.59,0.65
jbasic.csv,0.58,0.15,0.33,0.1,0.61,0.67,0.21,0.95,1.0,0.66,0.48,0.46,0.12,0.03,0.54,0.66,0.62
modplug.csv,0.56,0.14,0.29,0.12,0.52,0.79,0.12,0.96,0.73,0.47,0.57,0.39,0.13,0.03,0.4,0.85,0.63
pdfedit.csv,0.58,0.33,0.29,0.11,0.71,0.7,0.23,0.95,0.91,0.5,0.51,0.4,0.07,0.05,0.62,0.82,0.62
redshell.csv,0.52,0.12,0.27,0.11,0.5,0.7,0.05,0.98,0.5,0.59,0.58,0.37,0.1,0.02,0.4,0.65,0.62
sabbu.csv,0.77,0.12,0.44,0.07,0.64,0.82,0.37,0.96,0.95,0.54,0.57,0.53,0.06,0.08,0.48,0.59,0.65
silvertree.csv,0.75,0.14,0.39,0.17,0.47,0.78,0.16,0.95,0.94,0.59,0.53,0.63,0.1,0.04,0.44,0.6,0.65
t-2.csv,0.51,0.1,0.26,0.09,0.42,0.75,0.13,0.94,0.69,0.25,0.65,0.43,0.33,0.0,0.24,0.65,0.58
xinity.csv,0.48,0.03,0.29,0.14,0.55,0.69,0.08,0.96,0.69,0.5,0.65,0.3,0.12,0.01,0.54,0.53,0.77
xreal.csv,0.6,0.17,0.18,0.09,0.52,0.71,0.06,0.98,0.62,0.45,0.49,0.4,0.04,0.62,0.53,0.41,0.52
zabbix.csv,0.78,0.15,0.4,0.05,0.61,0.85,0.29,0.97,1.0,0.6,0.45,0.56,0.08,0.07,0.7,0.67,0.59
zengine.csv,0.58,0.15,0.28,0.13,0.49,0.74,0.12,0.96,1.0,0.48,0.51,0.41,0.12,0.03,0.41,0.68,0.61
