,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,168.0,376.0,273.5,1342.5,897.5,96.5,96.5,94.5,99.0,97.5,94.5,716.0,265.5,221.5,98.5,97.5,99.0,301.0
bacula.csv,297.0,854.0,555.0,345.0,290.5,296.0,96.5,563.5,96.5,489.5,97.5,197.5,196.0,805.5,98.5,97.5,198.0,194.0
blue-c.csv,198.0,659.5,181.0,252.5,634.5,198.0,96.5,99.0,189.0,391.0,97.5,533.0,97.5,986.5,98.5,97.5,198.0,95.5
enlightenment.csv,291.0,1137.5,842.0,1893.0,386.0,197.5,96.5,99.0,99.0,1280.0,97.5,197.5,196.0,272.5,98.5,97.5,198.0,194.0
fltk.csv,488.5,188.0,88.5,669.0,728.0,296.0,96.5,99.0,446.5,97.5,97.5,716.0,196.0,349.0,98.5,97.5,198.0,95.5
freewrl.csv,99.0,1047.0,97.5,157.0,562.0,297.0,96.5,99.0,99.0,196.0,97.5,98.5,196.0,2021.5,98.5,97.5,198.0,194.0
genecys.csv,297.0,1136.5,97.5,1808.5,94.5,395.0,93.5,99.0,99.0,1280.0,97.5,197.5,196.0,2031.0,98.5,97.5,198.0,187.0
genoviz.csv,94.5,79.5,85.5,61.5,261.5,97.5,96.5,48.0,82.5,85.5,95.5,47.5,96.5,84.5,0.0,85.5,4524.0,95.5
gzigzag.csv,192.0,860.0,369.0,423.5,272.5,98.5,96.5,94.5,99.0,194.0,97.5,352.0,196.0,540.0,98.5,97.5,4185.0,95.5
jparsec.csv,297.0,1047.0,196.5,526.0,386.0,297.0,96.5,99.0,197.0,886.0,95.5,5.5,196.0,2120.5,98.5,97.5,198.0,194.0
lportal.csv,99.0,174.0,46.5,40.5,84.5,197.5,0.0,69.5,87.5,97.5,0.0,0.0,97.5,177.0,55.5,233.5,2733.5,92.0
ogrehg.csv,293.0,279.5,88.5,239.5,269.5,197.5,96.5,94.5,99.0,97.5,97.5,352.0,196.0,539.0,98.5,97.5,99.0,95.5
patterntesting.csv,198.0,1042.5,196.5,423.5,1017.5,297.0,96.5,99.0,99.0,391.0,97.5,98.5,97.5,1646.5,98.5,97.5,198.0,194.0
pfaedit.csv,58.5,838.0,185.0,78.5,744.0,98.5,96.5,95.5,86.5,196.0,97.5,334.0,97.5,45.5,93.5,503.0,99.0,95.5
pgui.csv,293.0,0.0,0.0,1893.0,386.0,0.0,96.5,291.5,0.0,0.0,97.5,197.5,196.0,262.5,98.5,97.5,0.0,194.0
roller.csv,297.0,1134.5,97.5,344.0,1016.5,297.0,96.5,99.0,99.0,1182.5,97.5,440.5,97.5,1925.0,98.5,97.5,198.0,194.0
sylpheed-claws.csv,99.0,1233.0,196.5,526.0,386.0,297.0,96.5,99.0,99.0,1084.0,97.5,190.5,196.0,1100.0,289.5,97.5,198.0,194.0
xbg.csv,586.0,186.0,1.5,875.5,234.5,99.0,83.5,394.5,99.0,295.0,93.5,0.0,447.0,807.5,0.0,97.5,2627.5,45.5
